特技パーツ,特技パーツ効果分類,適用メンバー,適用アイコン,適用判定,特技パーツ効果,効果量,ブーストタイプ,特技
PERFECTのスコアを16%アップ,スコアアップ,全員,非該当,PERFECT判定,スコアボーナス,0.16,％強化,パッションフォーカス／トリコロール・シナジー／クールフォーカス／キュートフォーカス
PERFECTのスコアを18%アップ,スコアアップ,全員,非該当,PERFECT判定,スコアボーナス,0.18,％強化,トリコロール・スパイク
PERFECTのスコアを19%アップ,スコアアップ,全員,非該当,PERFECT判定,スコアボーナス,0.19,％強化,コンセントレーション
PERFECTのスコアを22%アップ,スコアアップ,全員,非該当,PERFECT判定,スコアボーナス,0.22,％強化,コンセントレーション
PERFECT/GREATのスコアを17%アップ,スコアアップ,全員,非該当,PERFECT/GREAT判定,スコアボーナス,0.17,％強化,SCOREボーナス
PERFECT/GREATのスコアを18%アップ,スコアアップ,全員,非該当,PERFECT/GREAT判定,スコアボーナス,0.18,％強化,オーバーロード
PERFECT/GREATのスコアを20%アップ,スコアアップ,全員,非該当,PERFECT/GREAT判定,スコアボーナス,0.2,％強化,オーバーロード
ロングアイコンでPERFECTのスコアを32%アップ,スコアアップ,全員,ロングアイコン,PERFECT判定,スコアボーナス,0.32,％強化,ロングアクト
ロングアイコンでPERFECTのスコアを40%アップ,スコアアップ,全員,ロングアイコン,PERFECT判定,スコアボーナス,0.4,％強化,ロングアクト
フリックアイコンでPERFECTのスコアを32%アップ,スコアアップ,全員,フリックアイコン,PERFECT判定,スコアボーナス,0.32,％強化,フリックアクト
フリックアイコンでPERFECTのスコアを40%アップ,スコアアップ,全員,フリックアイコン,PERFECT判定,スコアボーナス,0.4,％強化,フリックアクト
スライドアイコンでPERFECTのスコアを32%アップ,スコアアップ,全員,スライドアイコン,PERFECT判定,スコアボーナス,0.32,％強化,スライドアクト
スライドアイコンでPERFECTのスコアを40%アップ,スコアアップ,全員,スライドアイコン,PERFECT判定,スコアボーナス,0.4,％強化,スライドアクト
ユニットのボーカルアピール値が多いほどPERFECTのスコアアップ,スコアアップ,全員,非該当,PERFECT判定,スコアボーナス,ユニットのボーカルアピール値が多いほど,％強化,ボーカルモチーフ
ユニットのビジュアルアピール値が多いほどPERFECTのスコアアップ,スコアアップ,全員,非該当,PERFECT判定,スコアボーナス,ユニットのダンスアピール値が多いほど,％強化,ビジュアルモチーフ
ユニットのダンスアピール値が多いほどPERFECTのスコアアップ,スコアアップ,全員,非該当,PERFECT判定,スコアボーナス,ユニットのビジュアルアピール値が多いほど,％強化,ダンスモチーフ
スコアを20%ダウン,スコアアップ,全員,非該当,非該当,スコアボーナス,-0.2,％強化,ミューチャル
COMBOボーナスを8%アップ,COMBOボーナス,全員,非該当,非該当,COMBOボーナス,0.08,％強化,COMBOボーナス
COMBOボーナスを10%アップ,COMBOボーナス,全員,非該当,非該当,COMBOボーナス,0.1,％強化,オールラウンド
COMBOボーナスを11%アップ,COMBOボーナス,全員,非該当,非該当,COMBOボーナス,0.11,％強化,パッションフォーカス／クールフォーカス／キュートフォーカス
COMBOボーナスを12%アップ,COMBOボーナス,全員,非該当,非該当,COMBOボーナス,0.12,％強化,チューニング／コーディネイト
COMBOボーナスを13%アップ,COMBOボーナス,全員,非該当,非該当,COMBOボーナス,0.13,％強化,オールラウンド／トリコロール・スパイク
COMBOボーナスを14%アップ,COMBOボーナス,全員,非該当,非該当,COMBOボーナス,0.14,％強化,COMBOボーナス／パッションフォーカス／クールフォーカス／キュートフォーカス
COMBOボーナスを15%アップ,COMBOボーナス,全員,非該当,非該当,COMBOボーナス,0.15,％強化,コーディネイト／トリコロール・シナジー
COMBOボーナスを17%アップ,COMBOボーナス,全員,非該当,非該当,COMBOボーナス,0.17,％強化,トリコロール・スパイク
COMBOボーナスを18%アップ,COMBOボーナス,全員,非該当,非該当,COMBOボーナス,0.18,％強化,COMBOボーナス
COMBOボーナスを20%アップ,COMBOボーナス,全員,非該当,非該当,COMBOボーナス,0.2,％強化,オーバードライブ
ライフ値が多いほどCOMBOボーナスアップ,COMBOボーナス,全員,非該当,非該当,COMBOボーナス,ライフ値が多いほど,％強化,ライフスパークル
COMBOボーナスを20%ダウン,COMBOボーナス,全員,非該当,非該当,COMBOボーナス,-0.2,％強化,オルタネイト
他のキュートアイドルのスコアアップ効果を特大アップ,スキルブースト,全ユニットのキュート,非該当,非該当,スコアブースト,0.5,非該当,キュートアンサンブル
他のクールアイドルのスコアアップ効果を特大アップ,スキルブースト,全ユニットのクール,非該当,非該当,スコアブースト,0.5,非該当,クールアンサンブル
他のパッションアイドルのスコアアップ効果を特大アップ,スキルブースト,全ユニットのパッション,非該当,非該当,スコアブースト,0.5,非該当,パッションアンサンブル
他アイドルのスコアアップ効果を中アップ,スキルブースト,全ユニット,非該当,非該当,スコアブースト,0.1,非該当,スキルブースト
他アイドルのスコアアップ効果を大アップ,スキルブースト,全ユニット,非該当,非該当,スコアブースト,0.2,非該当,スキルブースト
他アイドルのスコアアップ効果を特大アップ,スキルブースト,全ユニット,非該当,非該当,スコアブースト,0.5,非該当,トリコロール・シンフォニー
他アイドルのスコアアップ効果を極大アップ,スキルブースト,全ユニット,非該当,非該当,スコアブースト,0.7,非該当,スターライトアンサンブル
キュートアイドルのスコアアップ効果をそれぞれの人数に応じてアップ,スキルブースト,全ユニットのキュート,非該当,非該当,スコアブースト,キュートアイドルの人数に応じて,非該当,ドミナント・ハーモニー
クールアイドルのスコアアップ効果をそれぞれの人数に応じてアップ,スキルブースト,全ユニットのクール,非該当,非該当,スコアブースト,クールアイドルの人数に応じて,非該当,ドミナント・ハーモニー
パッションアイドルのスコアアップ効果をそれぞれの人数に応じてアップ,スキルブースト,全ユニットのパッション,非該当,非該当,スコアブースト,パッションアイドルの人数に応じて,非該当,ドミナント・ハーモニー
他のキュートアイドルのCOMBOボーナス効果を特大アップ,スキルブースト,全ユニットのキュート,非該当,非該当,COMBOブースト,0.5,非該当,キュートアンサンブル
他のクールアイドルのCOMBOボーナス効果を特大アップ,スキルブースト,全ユニットのクール,非該当,非該当,COMBOブースト,0.5,非該当,クールアンサンブル
他のパッションアイドルのCOMBOボーナス効果を特大アップ,スキルブースト,全ユニットのパッション,非該当,非該当,COMBOブースト,0.5,非該当,パッションアンサンブル
他アイドルのCOMBOボーナス効果を中アップ,スキルブースト,全ユニット,非該当,非該当,COMBOブースト,0.1,非該当,スキルブースト
他アイドルのCOMBOボーナス効果を大アップ,スキルブースト,全ユニット,非該当,非該当,COMBOブースト,0.2,非該当,スキルブースト
他アイドルのCOMBOボーナス効果を特大アップ,スキルブースト,全ユニット,非該当,非該当,COMBOブースト,0.5,非該当,トリコロール・シンフォニー
他アイドルのCOMBOボーナス効果を極大アップ,スキルブースト,全ユニット,非該当,非該当,COMBOブースト,0.7,非該当,スターライトアンサンブル
キュートアイドルのCOMBOボーナス効果をそれぞれの人数に応じてアップ,スキルブースト,全ユニットのキュート,非該当,非該当,COMBOブースト,キュートアイドルの人数に応じて,非該当,ドミナント・ハーモニー
クールアイドルのCOMBOボーナス効果をそれぞれの人数に応じてアップ,スキルブースト,全ユニットのクール,非該当,非該当,COMBOブースト,クールアイドルの人数に応じて,非該当,ドミナント・ハーモニー
パッションアイドルのCOMBOボーナス効果をそれぞれの人数に応じてアップ,スキルブースト,全ユニットのパッション,非該当,非該当,COMBOブースト,パッションアイドルの人数に応じて,非該当,ドミナント・ハーモニー
他アイドルのライフ回復効果を中アップ,スキルブースト,全ユニット,非該当,非該当,ライフ回復ブースト,0.1,非該当,スキルブースト
他アイドルのライフ回復効果を大アップ,スキルブースト,全ユニット,非該当,非該当,ライフ回復ブースト,0.2,非該当,トリコロール・シンフォニー／スキルブースト
他アイドルのダメージガードにライフ回復を付与,スキルブースト,全ユニット,非該当,非該当,ライフ回復付与,1,非該当,トリコロール・シンフォニー／スキルブースト
他アイドルのライフ減少量ダウン効果を中アップ,スキルブースト,全ユニット,非該当,非該当,ライフ減少量ダウンブースト,0.1,非該当,スキルブースト
他アイドルのライフ減少量ダウン効果を大アップ,スキルブースト,全ユニット,非該当,非該当,ライフ減少量ダウンブースト,0.2,非該当,トリコロール・シンフォニー／スキルブースト
他アイドルのPERFECTサポートを中アップ,スキルブースト,全ユニット,非該当,非該当,PERFECTサポートブースト,判定,判定強化,スキルブースト
他アイドルのPERFECTサポートを大アップ,スキルブースト,全ユニット,非該当,非該当,PERFECTサポートブースト,判定,判定強化,トリコロール・シンフォニー／スキルブースト
他アイドルのCOMBOサポートを中アップ,スキルブースト,全ユニット,非該当,非該当,COMBOサポートブースト,判定,判定強化,スキルブースト
他アイドルのCOMBOサポートを大アップ,スキルブースト,全ユニット,非該当,非該当,COMBOサポートブースト,判定,判定強化,トリコロール・シンフォニー／スキルブースト
直前に発動した他アイドルの特技効果を繰り返す,適用,全ユニット,非該当,非該当,アンコール,非該当,非該当,アンコール
LIVE中に発動した最も高いスコアアップ効果を適用,適用,全員,非該当,非該当,スコアボーナスコピー,非該当,非該当,リフレイン
LIVE中に発動した最も高いCOMBOボーナス効果を適用,適用,全員,非該当,非該当,COMBOボーナスコピー,非該当,非該当,リフレイン
LIVE中に発動した最も高いスコアアップ効果を極大アップして適用,適用,全員,非該当,非該当,スコアブーストコピー,0.7,非該当,オルタネイト
LIVE中に発動した最も高いCOMBOボーナス効果を極大アップして適用,適用,全員,非該当,非該当,COMBOブーストコピー,0.7,非該当,ミューチャル
ユニット編成アイドル全員の特技効果を発動し、最も高い効果を適用,シンデレラマジック,全員,非該当,非該当,シンデレラマジック,非該当,非該当,シンデレラマジック
