パーツ番号,特技,特技分類,特技説明,発動要件,楽曲要件,編成要件,発動間隔,発動確率,継続期間,特技パーツ,特技パーツ効果
1,ミューチャル,スコアボーナスダウン、COMBOボーナスコピー＆COMBOブースト,11秒毎、中確率でかなりの間、スコア20%ダウン、LIVE中に発動した最も高いCOMBOボーナス効果を極大アップして適用,非該当,非該当,非該当,11,中確率,かなりの間,スコアを20%ダウン,スコアボーナス
1,ミューチャル,スコアボーナスダウン、COMBOボーナスコピー＆COMBOブースト,6秒毎、中確率でわずかな間、スコア20%ダウン、LIVE中に発動した最も高いCOMBOボーナス効果を極大アップして適用,非該当,非該当,非該当,6,中確率,わずかな間,スコアを20%ダウン,スコアボーナス
1,ミューチャル,スコアボーナスダウン、COMBOボーナスコピー＆COMBOブースト,13秒毎、高確率でかなりの間、スコア20%ダウン、LIVE中に発動した最も高いCOMBOボーナス効果を極大アップして適用,非該当,非該当,非該当,13,高確率,かなりの間,スコアを20%ダウン,スコアボーナス
1,ボーカルモチーフ,スコアボーナス,11秒毎、高確率でしばらくの間、ユニットのボーカルアピール値が多いほどPERFECTのスコアアップ,非該当,非該当,非該当,11,高確率,しばらくの間,ユニットのボーカルアピール値が多いほどPERFECTのスコアアップ,スコアボーナス
1,ボーカルモチーフ,スコアボーナス,7秒毎、高確率でわずかな間、ユニットのボーカルアピール値が多いほどPERFECTのスコアアップ,非該当,非該当,非該当,7,高確率,わずかな間,ユニットのボーカルアピール値が多いほどPERFECTのスコアアップ,スコアボーナス
1,ボーカルモチーフ,スコアボーナス,9秒毎、高確率で少しの間、ユニットのボーカルアピール値が多いほどPERFECTのスコアアップ,非該当,非該当,非該当,9,高確率,少しの間,ユニットのボーカルアピール値が多いほどPERFECTのスコアアップ,スコアボーナス
1,フリックアクト,スコアボーナス,11秒毎、高確率でかなりの間、PERFECTのスコア8%アップ、フリックアイコンなら32%アップ,非該当,非該当,非該当,11,高確率,かなりの間,PERFECTのスコアを8%アップ,スコアボーナス
1,フリックアクト,スコアボーナス,7秒毎、高確率で少しの間、PERFECTのスコア8%アップ、フリックアイコンなら32%アップ,非該当,非該当,非該当,7,高確率,少しの間,PERFECTのスコアを8%アップ,スコアボーナス
1,フリックアクト,スコアボーナス,9秒毎、高確率でしばらくの間、PERFECTのスコア8%アップ、フリックアイコンなら32%アップ,非該当,非該当,非該当,9,高確率,しばらくの間,PERFECTのスコアを8%アップ,スコアボーナス
1,フリックアクト,スコアボーナス,9秒毎、高確率でしばらくの間、PERFECTのスコア10%アップ、フリックアイコンなら40%アップ,非該当,非該当,非該当,9,高確率,しばらくの間,PERFECTのスコアを10%アップ,スコアボーナス
1,フリックアクト,スコアボーナス,7秒毎、高確率で少しの間、PERFECTのスコア10%アップ、フリックアイコンなら40%アップ,非該当,非該当,非該当,7,高確率,少しの間,PERFECTのスコアを10%アップ,スコアボーナス
1,フリックアクト,スコアボーナス,11秒毎、高確率でかなりの間、PERFECTのスコア10%アップ、フリックアイコンなら40%アップ,非該当,非該当,非該当,11,高確率,かなりの間,PERFECTのスコアを10%アップ,スコアボーナス
1,ビジュアルモチーフ,スコアボーナス,11秒毎、高確率でしばらくの間、ユニットのビジュアルアピール値が多いほどPERFECTのスコアアップ,非該当,非該当,非該当,11,高確率,しばらくの間,ユニットのビジュアルアピール値が多いほどPERFECTのスコアアップ,スコアボーナス
1,ビジュアルモチーフ,スコアボーナス,9秒毎、高確率で少しの間、ユニットのビジュアルアピール値が多いほどPERFECTのスコアアップ,非該当,非該当,非該当,9,高確率,少しの間,ユニットのビジュアルアピール値が多いほどPERFECTのスコアアップ,スコアボーナス
1,ビジュアルモチーフ,スコアボーナス,7秒毎、高確率でわずかな間、ユニットのビジュアルアピール値が多いほどPERFECTのスコアアップ,非該当,非該当,非該当,7,高確率,わずかな間,ユニットのビジュアルアピール値が多いほどPERFECTのスコアアップ,スコアボーナス
1,パッションフォーカス,スコアボーナス、COMBOボーナス,パッションアイドルのみ編成時、9秒毎、高確率で少しの間、PERFECTのスコア14%アップ、COMBOボーナス11%アップ,非該当,非該当,パッションアイドルのみ編成,9,高確率,少しの間,PERFECTのスコアを14%アップ,スコアボーナス
1,パッションフォーカス,スコアボーナス、COMBOボーナス,パッションアイドルのみ編成時、11秒毎、高確率でしばらくの間、PERFECTのスコア14%アップ、COMBOボーナス11%アップ,非該当,非該当,パッションアイドルのみ編成,11,高確率,しばらくの間,PERFECTのスコアを14%アップ,スコアボーナス
1,パッションフォーカス,スコアボーナス、COMBOボーナス,パッションアイドルのみ編成時、7秒毎、高確率でわずかな間、PERFECTのスコア14%アップ、COMBOボーナス11%アップ,非該当,非該当,パッションアイドルのみ編成,7,高確率,わずかな間,PERFECTのスコアを14%アップ,スコアボーナス
1,パッションフォーカス,スコアボーナス、COMBOボーナス,パッションアイドルのみ編成時、6秒毎、中確率でわずかな間、PERFECTのスコア14%アップ、COMBOボーナス11%アップ,非該当,非該当,パッションアイドルのみ編成,6,中確率,わずかな間,PERFECTのスコアを14%アップ,スコアボーナス
1,パッションフォーカス,スコアボーナス、COMBOボーナス,パッションアイドルのみ編成時、9秒毎、高確率で少しの間、PERFECTのスコア16%アップ、COMBOボーナス14%アップ,非該当,非該当,パッションアイドルのみ編成,9,高確率,少しの間,PERFECTのスコアを16%アップ,スコアボーナス
1,パッションフォーカス,スコアボーナス、COMBOボーナス,パッションアイドルのみ編成時、6秒毎、中確率でわずかな間、PERFECTのスコア16%アップ、COMBOボーナス14%アップ,非該当,非該当,パッションアイドルのみ編成,6,中確率,わずかな間,PERFECTのスコアを16%アップ,スコアボーナス
1,パッションフォーカス,スコアボーナス、COMBOボーナス,パッションアイドルのみ編成時、11秒毎、高確率でしばらくの間、PERFECTのスコア16%アップ、COMBOボーナス14%アップ,非該当,非該当,パッションアイドルのみ編成,11,高確率,しばらくの間,PERFECTのスコアを16%アップ,スコアボーナス
1,パッションフォーカス,スコアボーナス、COMBOボーナス,パッションアイドルのみ編成時、7秒毎、高確率でわずかな間、PERFECTのスコア16%アップ、COMBOボーナス14%アップ,非該当,非該当,パッションアイドルのみ編成,7,高確率,わずかな間,PERFECTのスコアを16%アップ,スコアボーナス
1,パッションアンサンブル,スコアブースト、COMBOブースト,11秒毎、高確率でしばらくの間、他のパッションアイドルのスコアアップ/COMBOボーナス効果を特大アップ,非該当,非該当,非該当,11,高確率,しばらくの間,他のパッションアイドルのスコアアップ効果を特大アップ,スコアブースト
1,パッションアンサンブル,スコアブースト、COMBOブースト,6秒毎、中確率でわずかな間、他のパッションアイドルのスコアアップ/COMBOボーナス効果を特大アップ,非該当,非該当,非該当,6,中確率,わずかな間,他のパッションアイドルのスコアアップ効果を特大アップ,スコアブースト
1,パッションアンサンブル,スコアブースト、COMBOブースト,9秒毎、高確率で少しの間、他のパッションアイドルのスコアアップ/COMBOボーナス効果を特大アップ,非該当,非該当,非該当,9,高確率,少しの間,他のパッションアイドルのスコアアップ効果を特大アップ,スコアブースト
1,パッションアンサンブル,スコアブースト、COMBOブースト,13秒毎、高確率でかなりの間、他のパッションアイドルのスコアアップ/COMBOボーナス効果を特大アップ,非該当,非該当,非該当,13,高確率,かなりの間,他のパッションアイドルのスコアアップ効果を特大アップ,スコアブースト
1,パッションアンサンブル,スコアブースト、COMBOブースト,4秒毎、高確率で一瞬の間、他のパッションアイドルのスコアアップ/COMBOボーナス効果を特大アップ,非該当,非該当,非該当,4,高確率,一瞬の間,他のパッションアイドルのスコアアップ効果を特大アップ,スコアブースト
1,パッションアンサンブル,スコアブースト、COMBOブースト,7秒毎、高確率でわずかな間、他のパッションアイドルのスコアアップ/COMBOボーナス効果を特大アップ,非該当,非該当,非該当,7,高確率,わずかな間,他のパッションアイドルのスコアアップ効果を特大アップ,スコアブースト
1,トリコロール・スパイク,ライフ消費、スコアボーナス、COMBOボーナス／トリコロール,全タイプ楽曲で3タイプ全てのアイドル編成時、9秒毎、高確率でライフを25消費し、少しの間、PERFECTのスコア15%アップ、COMBOボーナス13%アップ,ライフを25消費,全タイプ楽曲,3タイプ全てのアイドル編成,9,高確率,少しの間,PERFECTのスコアを15%アップ,スコアボーナス
1,トリコロール・スパイク,ライフ消費、スコアボーナス、COMBOボーナス／トリコロール,全タイプ楽曲で3タイプ全てのアイドル編成時、11秒毎、高確率でライフを28消費し、しばらくの間、PERFECTのスコア15%アップ、COMBOボーナス13%アップ,ライフを28消費,全タイプ楽曲,3タイプ全てのアイドル編成,11,高確率,しばらくの間,PERFECTのスコアを15%アップ,スコアボーナス
1,トリコロール・スパイク,ライフ消費、スコアボーナス、COMBOボーナス／トリコロール,全タイプ楽曲で3タイプ全てのアイドル編成時、7秒毎、高確率でライフを18消費し、わずかな間、PERFECTのスコア15%アップ、COMBOボーナス13%アップ,ライフを18消費,全タイプ楽曲,3タイプ全てのアイドル編成,7,高確率,わずかな間,PERFECTのスコアを15%アップ,スコアボーナス
1,トリコロール・スパイク,ライフ消費、スコアボーナス、COMBOボーナス／トリコロール,全タイプ楽曲で3タイプ全てのアイドル編成時、9秒毎、高確率でライフを25消費し、少しの間、PERFECTのスコア18%アップ、COMBOボーナス17%アップ,ライフを25消費,全タイプ楽曲,3タイプ全てのアイドル編成,9,高確率,少しの間,PERFECTのスコアを18%アップ,スコアボーナス
1,トリコロール・スパイク,ライフ消費、スコアボーナス、COMBOボーナス／トリコロール,全タイプ楽曲で3タイプ全てのアイドル編成時、7秒毎、高確率でライフを18消費し、わずかな間、PERFECTのスコア18%アップ、COMBOボーナス17%アップ,ライフを18消費,全タイプ楽曲,3タイプ全てのアイドル編成,7,高確率,わずかな間,PERFECTのスコアを18%アップ,スコアボーナス
1,トリコロール・スパイク,ライフ消費、スコアボーナス、COMBOボーナス／トリコロール,全タイプ楽曲で3タイプ全てのアイドル編成時、11秒毎、高確率でライフを28消費し、しばらくの間、PERFECTのスコア18%アップ、COMBOボーナス17%アップ,ライフを28消費,全タイプ楽曲,3タイプ全てのアイドル編成,11,高確率,しばらくの間,PERFECTのスコアを18%アップ,スコアボーナス
1,トリコロール・シンフォニー,スコアブースト、COMBOブースト、他特技ブースト／トリコロール,3タイプ全てのアイドル編成時、11秒毎、高確率でしばらくの間、他アイドルのスコアアップ/COMBOボーナス効果を特大アップ、他特技効果を大アップ,非該当,非該当,3タイプ全てのアイドル編成,11,高確率,しばらくの間,他アイドルのスコアアップ効果を特大アップ,スコアブースト
1,トリコロール・シンフォニー,スコアブースト、COMBOブースト、他特技ブースト／トリコロール,3タイプ全てのアイドル編成時、9秒毎、高確率で少しの間、他アイドルのスコアアップ/COMBOボーナス効果を特大アップ、他特技効果を大アップ,非該当,非該当,3タイプ全てのアイドル編成,9,高確率,少しの間,他アイドルのスコアアップ効果を特大アップ,スコアブースト
1,トリコロール・シンフォニー,スコアブースト、COMBOブースト、他特技ブースト／トリコロール,3タイプ全てのアイドル編成時、7秒毎、高確率でわずかな間、他アイドルのスコアアップ/COMBOボーナス効果を特大アップ、他特技効果を大アップ,非該当,非該当,3タイプ全てのアイドル編成,7,高確率,わずかな間,他アイドルのスコアアップ効果を特大アップ,スコアブースト
1,トリコロール・シナジー,スコアボーナス、COMBOボーナス、ライフ回復／トリコロール,3タイプ全てのアイドル編成時、11秒毎、高確率でしばらくの間、PERFECTのスコア16%アップ/ライフ1回復、COMBOボーナス15%アップ,非該当,非該当,3タイプ全てのアイドル編成,11,高確率,しばらくの間,PERFECTのスコアを16%アップ,スコアボーナス
1,トリコロール・シナジー,スコアボーナス、COMBOボーナス、ライフ回復／トリコロール,3タイプ全てのアイドル編成時、7秒毎、高確率でわずかな間、PERFECTのスコア16%アップ/ライフ1回復、COMBOボーナス15%アップ,非該当,非該当,3タイプ全てのアイドル編成,7,高確率,わずかな間,PERFECTのスコアを16%アップ,スコアボーナス
1,トリコロール・シナジー,スコアボーナス、COMBOボーナス、ライフ回復／トリコロール,3タイプ全てのアイドル編成時、9秒毎、高確率で少しの間、PERFECTのスコア16%アップ/ライフ1回復、COMBOボーナス15%アップ,非該当,非該当,3タイプ全てのアイドル編成,9,高確率,少しの間,PERFECTのスコアを16%アップ,スコアボーナス
1,ドミナント・ハーモニー,スコアブースト、COMBOブースト／ドミナント,パッション楽曲でクールとパッションのアイドルのみ編成時、9秒毎、中確率でしばらくの間、クールアイドルのスコアアップ効果と、パッションアイドルのCOMBOボーナス効果をそれぞれの人数に応じてアップ,非該当,パッション楽曲,クールとパッションのアイドルのみ編成,9,中確率,しばらくの間,クールアイドルのスコアアップ効果をそれぞれの人数に応じてアップ,スコアブースト
1,ドミナント・ハーモニー,スコアブースト、COMBOブースト／ドミナント,パッション楽曲でキュートとパッションのアイドルのみ編成時、11秒毎、中確率でかなりの間、キュートアイドルのスコアアップ効果と、パッションアイドルのCOMBOボーナス効果をそれぞれの人数に応じてアップ,非該当,パッション楽曲,キュートとパッションのアイドルのみ編成,11,中確率,かなりの間,キュートアイドルのスコアアップ効果をそれぞれの人数に応じてアップ,スコアブースト
1,ドミナント・ハーモニー,スコアブースト、COMBOブースト／ドミナント,パッション楽曲でクールとパッションのアイドルのみ編成時、6秒毎、中確率でわずかな間、クールアイドルのスコアアップ効果と、パッションアイドルのCOMBOボーナス効果をそれぞれの人数に応じてアップ,非該当,パッション楽曲,クールとパッションのアイドルのみ編成,6,中確率,わずかな間,クールアイドルのスコアアップ効果をそれぞれの人数に応じてアップ,スコアブースト
1,ドミナント・ハーモニー,スコアブースト、COMBOブースト／ドミナント,クール楽曲でキュートとクールのアイドルのみ編成時、11秒毎、中確率でかなりの間、キュートアイドルのスコアアップ効果と、クールアイドルのCOMBOボーナス効果をそれぞれの人数に応じてアップ,非該当,クール楽曲,キュートとクールのアイドルのみ編成,11,中確率,かなりの間,キュートアイドルのスコアアップ効果をそれぞれの人数に応じてアップ,スコアブースト
1,ドミナント・ハーモニー,スコアブースト、COMBOブースト／ドミナント,キュート楽曲でパッションとキュートのアイドルのみ編成時、9秒毎、中確率でしばらくの間、パッションアイドルのスコアアップ効果と、キュートアイドルのCOMBOボーナス効果をそれぞれの人数に応じてアップ,非該当,キュート楽曲,パッションとキュートのアイドルのみ編成,9,中確率,しばらくの間,パッションアイドルのスコアアップ効果をそれぞれの人数に応じてアップ,スコアブースト
1,ドミナント・ハーモニー,スコアブースト、COMBOブースト／ドミナント,クール楽曲でパッションとクールのアイドルのみ編成時、6秒毎、中確率でわずかな間、パッションアイドルのスコアアップ効果と、クールアイドルのCOMBOボーナス効果をそれぞれの人数に応じてアップ,非該当,クール楽曲,パッションとクールのアイドルのみ編成,6,中確率,わずかな間,パッションアイドルのスコアアップ効果をそれぞれの人数に応じてアップ,スコアブースト
1,ドミナント・ハーモニー,スコアブースト、COMBOブースト／ドミナント,キュート楽曲でクールとキュートのアイドルのみ編成時、6秒毎、中確率でわずかな間、クールアイドルのスコアアップ効果と、キュートアイドルのCOMBOボーナス効果をそれぞれの人数に応じてアップ,非該当,キュート楽曲,クールとキュートのアイドルのみ編成,6,中確率,わずかな間,クールアイドルのスコアアップ効果をそれぞれの人数に応じてアップ,スコアブースト
1,ドミナント・ハーモニー,スコアブースト、COMBOブースト／ドミナント,パッション楽曲でキュートとパッションのアイドルのみ編成時、13秒毎、高確率でかなりの間、キュートアイドルのスコアアップ効果と、パッションアイドルのCOMBOボーナス効果をそれぞれの人数に応じてアップ,非該当,パッション楽曲,キュートとパッションのアイドルのみ編成,13,高確率,かなりの間,キュートアイドルのスコアアップ効果をそれぞれの人数に応じてアップ,スコアブースト
1,ドミナント・ハーモニー,スコアブースト、COMBOブースト／ドミナント,クール楽曲でパッションとクールのアイドルのみ編成時、9秒毎、中確率でしばらくの間、パッションアイドルのスコアアップ効果と、クールアイドルのCOMBOボーナス効果をそれぞれの人数に応じてアップ,非該当,クール楽曲,パッションとクールのアイドルのみ編成,9,中確率,しばらくの間,パッションアイドルのスコアアップ効果をそれぞれの人数に応じてアップ,スコアブースト
1,ドミナント・ハーモニー,スコアブースト、COMBOブースト／ドミナント,キュート楽曲でパッションとキュートのアイドルのみ編成時、11秒毎、中確率でかなりの間、パッションアイドルのスコアアップ効果と、キュートアイドルのCOMBOボーナス効果をそれぞれの人数に応じてアップ,非該当,キュート楽曲,パッションとキュートのアイドルのみ編成,11,中確率,かなりの間,パッションアイドルのスコアアップ効果をそれぞれの人数に応じてアップ,スコアブースト
1,ドミナント・ハーモニー,スコアブースト、COMBOブースト／ドミナント,パッション楽曲でクールとパッションのアイドルのみ編成時、11秒毎、中確率でかなりの間、クールアイドルのスコアアップ効果と、パッションアイドルのCOMBOボーナス効果をそれぞれの人数に応じてアップ,非該当,パッション楽曲,クールとパッションのアイドルのみ編成,11,中確率,かなりの間,クールアイドルのスコアアップ効果をそれぞれの人数に応じてアップ,スコアブースト
1,ドミナント・ハーモニー,スコアブースト、COMBOブースト／ドミナント,パッション楽曲でキュートとパッションのアイドルのみ編成時、6秒毎、中確率でわずかな間、キュートアイドルのスコアアップ効果と、パッションアイドルのCOMBOボーナス効果をそれぞれの人数に応じてアップ,非該当,パッション楽曲,キュートとパッションのアイドルのみ編成,6,中確率,わずかな間,キュートアイドルのスコアアップ効果をそれぞれの人数に応じてアップ,スコアブースト
1,ドミナント・ハーモニー,スコアブースト、COMBOブースト／ドミナント,キュート楽曲でパッションとキュートのアイドルのみ編成時、6秒毎、中確率でわずかな間、パッションアイドルのスコアアップ効果と、キュートアイドルのCOMBOボーナス効果をそれぞれの人数に応じてアップ,非該当,キュート楽曲,パッションとキュートのアイドルのみ編成,6,中確率,わずかな間,パッションアイドルのスコアアップ効果をそれぞれの人数に応じてアップ,スコアブースト
1,ドミナント・ハーモニー,スコアブースト、COMBOブースト／ドミナント,キュート楽曲でパッションとキュートのアイドルのみ編成時、13秒毎、高確率でかなりの間、パッションアイドルのスコアアップ効果と、キュートアイドルのCOMBOボーナス効果をそれぞれの人数に応じてアップ,非該当,キュート楽曲,パッションとキュートのアイドルのみ編成,13,高確率,かなりの間,パッションアイドルのスコアアップ効果をそれぞれの人数に応じてアップ,スコアブースト
1,ドミナント・ハーモニー,スコアブースト、COMBOブースト／ドミナント,パッション楽曲でクールとパッションのアイドルのみ編成時、13秒毎、高確率でかなりの間、クールアイドルのスコアアップ効果と、パッションアイドルのCOMBOボーナス効果をそれぞれの人数に応じてアップ,非該当,パッション楽曲,クールとパッションのアイドルのみ編成,13,高確率,かなりの間,クールアイドルのスコアアップ効果をそれぞれの人数に応じてアップ,スコアブースト
1,ドミナント・ハーモニー,スコアブースト、COMBOブースト／ドミナント,キュート楽曲でクールとキュートのアイドルのみ編成時、9秒毎、中確率でしばらくの間、クールアイドルのスコアアップ効果と、キュートアイドルのCOMBOボーナス効果をそれぞれの人数に応じてアップ,非該当,キュート楽曲,クールとキュートのアイドルのみ編成,9,中確率,しばらくの間,クールアイドルのスコアアップ効果をそれぞれの人数に応じてアップ,スコアブースト
1,ドミナント・ハーモニー,スコアブースト、COMBOブースト／ドミナント,キュート楽曲でクールとキュートのアイドルのみ編成時、11秒毎、中確率でかなりの間、クールアイドルのスコアアップ効果と、キュートアイドルのCOMBOボーナス効果をそれぞれの人数に応じてアップ,非該当,キュート楽曲,クールとキュートのアイドルのみ編成,11,中確率,かなりの間,クールアイドルのスコアアップ効果をそれぞれの人数に応じてアップ,スコアブースト
1,ドミナント・ハーモニー,スコアブースト、COMBOブースト／ドミナント,キュート楽曲でクールとキュートのアイドルのみ編成時、13秒毎、高確率でかなりの間、クールアイドルのスコアアップ効果と、キュートアイドルのCOMBOボーナス効果をそれぞれの人数に応じてアップ,非該当,キュート楽曲,クールとキュートのアイドルのみ編成,13,高確率,かなりの間,クールアイドルのスコアアップ効果をそれぞれの人数に応じてアップ,スコアブースト
1,ドミナント・ハーモニー,スコアブースト、COMBOブースト／ドミナント,クール楽曲でキュートとクールのアイドルのみ編成時、9秒毎、中確率でしばらくの間、キュートアイドルのスコアアップ効果と、クールアイドルのCOMBOボーナス効果をそれぞれの人数に応じてアップ,非該当,クール楽曲,キュートとクールのアイドルのみ編成,9,中確率,しばらくの間,キュートアイドルのスコアアップ効果をそれぞれの人数に応じてアップ,スコアブースト
1,ドミナント・ハーモニー,スコアブースト、COMBOブースト／ドミナント,パッション楽曲でキュートとパッションのアイドルのみ編成時、9秒毎、中確率でしばらくの間、キュートアイドルのスコアアップ効果と、パッションアイドルのCOMBOボーナス効果をそれぞれの人数に応じてアップ,非該当,パッション楽曲,キュートとパッションのアイドルのみ編成,9,中確率,しばらくの間,キュートアイドルのスコアアップ効果をそれぞれの人数に応じてアップ,スコアブースト
1,ドミナント・ハーモニー,スコアブースト、COMBOブースト／ドミナント,クール楽曲でパッションとクールのアイドルのみ編成時、13秒毎、高確率でかなりの間、パッションアイドルのスコアアップ効果と、クールアイドルのCOMBOボーナス効果をそれぞれの人数に応じてアップ,非該当,クール楽曲,パッションとクールのアイドルのみ編成,13,高確率,かなりの間,パッションアイドルのスコアアップ効果をそれぞれの人数に応じてアップ,スコアブースト
