パーツ番号,センター効果,センター効果分類,センター効果分類説明,センター効果説明,発動要件,編成要件,楽曲要件,センター効果パーツ,適用効果
1,キュートプリンセス,プリンセス,全アピール値,キュートアイドルのみ編成時、全員の全アピール値35%アップ,非該当,キュートアイドルのみ編成,非該当,全員の全アピール値を35%アップ,全アピール値
1,キュートプリンセス,プリンセス,全アピール値,キュートアイドルのみ編成時、全員の全アピール値50%アップ,非該当,キュートアイドルのみ編成,非該当,全員の全アピール値を50%アップ,全アピール値
1,クールプリンセス,プリンセス,全アピール値,クールアイドルのみ編成時、全員の全アピール値35%アップ,非該当,クールアイドルのみ編成,非該当,全員の全アピール値を35%アップ,全アピール値
1,クールプリンセス,プリンセス,全アピール値,クールアイドルのみ編成時、全員の全アピール値50%アップ,非該当,クールアイドルのみ編成,非該当,全員の全アピール値を50%アップ,全アピール値
1,パッションプリンセス,プリンセス,全アピール値,パッションアイドルのみ編成時、全員の全アピール値35%アップ,非該当,パッションアイドルのみ編成,非該当,全員の全アピール値を35%アップ,全アピール値
1,パッションプリンセス,プリンセス,全アピール値,パッションアイドルのみ編成時、全員の全アピール値50%アップ,非該当,パッションアイドルのみ編成,非該当,全員の全アピール値を50%アップ,全アピール値
1,クールブリリアンス,ブリリアンス,全アピール値,クールアイドルの全アピール値10%アップ,非該当,非該当,非該当,クールアイドルの全アピール値を10%アップ,全アピール値
1,キュートブリリアンス,ブリリアンス,全アピール値,キュートアイドルの全アピール値10%アップ,非該当,非該当,非該当,キュートアイドルの全アピール値を10%アップ,全アピール値
1,パッションブリリアンス,ブリリアンス,全アピール値,パッションアイドルの全アピール値10%アップ,非該当,非該当,非該当,パッションアイドルの全アピール値を10%アップ,全アピール値
1,パッションブリリアンス,ブリリアンス,全アピール値,パッションアイドルの全アピール値30%アップ,非該当,非該当,非該当,パッションアイドルの全アピール値を30%アップ,全アピール値
1,キュートブリリアンス,ブリリアンス,全アピール値,キュートアイドルの全アピール値30%アップ,非該当,非該当,非該当,キュートアイドルの全アピール値を30%アップ,全アピール値
1,クールブリリアンス,ブリリアンス,全アピール値,クールアイドルの全アピール値30%アップ,非該当,非該当,非該当,クールアイドルの全アピール値を30%アップ,全アピール値
1,パッションユニゾン,ユニゾン,全アピール値,パッションアイドルの全アピール値30%アップ、パッション楽曲なら55%アップ,非該当,非該当,非該当,パッションアイドルの全アピール値を30%アップ,全アピール値
1,クールユニゾン,ユニゾン,全アピール値,クールアイドルの全アピール値30%アップ、クール楽曲なら55%アップ,非該当,非該当,非該当,クールアイドルの全アピール値を30%アップ,全アピール値
1,キュートブリリアンス,ブリリアンス,全アピール値,キュートアイドルの全アピール値40%アップ,非該当,非該当,非該当,キュートアイドルの全アピール値を40%アップ,全アピール値
1,キュートユニゾン,ユニゾン,全アピール値,キュートアイドルの全アピール値30%アップ、キュート楽曲なら55%アップ,非該当,非該当,非該当,キュートアイドルの全アピール値を30%アップ,全アピール値
1,パッションブリリアンス,ブリリアンス,全アピール値,パッションアイドルの全アピール値40%アップ,非該当,非該当,非該当,パッションアイドルの全アピール値を40%アップ,全アピール値
1,クールブリリアンス,ブリリアンス,全アピール値,クールアイドルの全アピール値40%アップ,非該当,非該当,非該当,クールアイドルの全アピール値を40%アップ,全アピール値
1,シンデレラエール,シンデレラエール,獲得経験値/マニー/友情pt,LIVEクリア時、獲得経験値/マニー/友情ptが50%アップ,LIVEクリア,非該当,非該当,獲得経験値を50%アップ,獲得経験値
1,シンデレラチャーム,シンデレラチャーム,獲得ファン数,LIVEクリア時、獲得ファン数が32%アップ,LIVEクリア,非該当,非該当,全員の獲得ファン数を32%アップ,獲得ファン数
1,シンデレラチャーム,シンデレラチャーム,獲得ファン数,LIVEクリア時、獲得ファン数が40%アップ,LIVEクリア,非該当,非該当,全員の獲得ファン数を40%アップ,獲得ファン数
1,スターライトチャーム・クール,スターライトチャーム,獲得ファン数,LIVEクリア時、獲得ファン数が30%アップ、クールアイドルなら55%アップ,LIVEクリア,非該当,非該当,全員の獲得ファン数を30%アップ,獲得ファン数
1,スターライトチャーム・キュート,スターライトチャーム,獲得ファン数,LIVEクリア時、獲得ファン数が30%アップ、キュートアイドルなら55%アップ,LIVEクリア,非該当,非該当,全員の獲得ファン数を30%アップ,獲得ファン数
1,スターライトチャーム・パッション,スターライトチャーム,獲得ファン数,LIVEクリア時、獲得ファン数が30%アップ、パッションアイドルなら55%アップ,LIVEクリア,非該当,非該当,全員の獲得ファン数を30%アップ,獲得ファン数
1,ワールドレベル,ワールドレベル,ワールドレベル,自分のダンスアピール値100%アップ、フェイスオープンしたら全員のダンスアピール値130%アップ,非該当,非該当,非該当,自分のダンスアピール値を100%アップ,ダンスアピール値
1,キュートチアー,チアー,ライフ値,キュートアイドルのみ編成時、全員のライフ40%アップ,非該当,キュートアイドルのみ編成,非該当,全員のライフを40%アップ,ライフ
1,クールチアー,チアー,ライフ値,クールアイドルのみ編成時、全員のライフ40%アップ,非該当,クールアイドルのみ編成,非該当,全員のライフを40%アップ,ライフ
1,パッションチアー,チアー,ライフ値,パッションアイドルのみ編成時、全員のライフ40%アップ,非該当,パッションアイドルのみ編成,非該当,全員のライフを40%アップ,ライフ
1,クールエナジー,エナジー,ライフ値,クールアイドルのライフ10%アップ,非該当,非該当,非該当,クールアイドルのライフを10%アップ,ライフ
1,キュートエナジー,エナジー,ライフ値,キュートアイドルのライフ10%アップ,非該当,非該当,非該当,キュートアイドルのライフを10%アップ,ライフ
1,パッションエナジー,エナジー,ライフ値,パッションアイドルのライフ10%アップ,非該当,非該当,非該当,パッションアイドルのライフを10%アップ,ライフ
1,クールエナジー,エナジー,ライフ値,クールアイドルのライフ20%アップ,非該当,非該当,非該当,クールアイドルのライフを20%アップ,ライフ
1,キュートエナジー,エナジー,ライフ値,キュートアイドルのライフ20%アップ,非該当,非該当,非該当,キュートアイドルのライフを20%アップ,ライフ
1,パッションエナジー,エナジー,ライフ値,パッションアイドルのライフ20%アップ,非該当,非該当,非該当,パッションアイドルのライフを20%アップ,ライフ
1,クールエナジー,エナジー,ライフ値,クールアイドルのライフ30%アップ,非該当,非該当,非該当,クールアイドルのライフを30%アップ,ライフ
1,キュートエナジー,エナジー,ライフ値,キュートアイドルのライフ30%アップ,非該当,非該当,非該当,キュートアイドルのライフを30%アップ,ライフ
1,パッションエナジー,エナジー,ライフ値,パッションアイドルのライフ30%アップ,非該当,非該当,非該当,パッションアイドルのライフを30%アップ,ライフ
1,レゾナンス・ボイス,ボイス,ボーカルアピール値／レゾナンス,5種類の特技編成時、ボーカル以外のアピール値を100%ダウンし、全ての特技効果が重複時に加算,非該当,5種類の特技編成,非該当,全員のダンスアピール値を100%ダウン,ダンスアピール値
1,トリコロール・ボイス,ボイス,ボーカルアピール値／トリコロール,3タイプ全てのアイドル編成時、全員のボーカルアピール値80%アップ,非該当,3タイプ全てのアイドル編成,非該当,全員のボーカルアピール値を80%アップ,ボーカルアピール値
1,トリコロール・ボイス,ボイス,ボーカルアピール値／トリコロール,3タイプ全てのアイドル編成時、全員のボーカルアピール値100%アップ,非該当,3タイプ全てのアイドル編成,非該当,全員のボーカルアピール値を100%アップ,ボーカルアピール値
1,キュートデュエット（メイク＆ボイス）,デュエット,ボーカルアピール値、ビジュアルアピール値,キュートアイドルのみ編成時、キュート楽曲で全員のビジュアル＆ボーカルアピール値100%アップ,非該当,キュートアイドルのみ編成,キュート楽曲,全員のビジュアルアピール値を100%アップ,ビジュアルアピール値
1,クールデュエット（メイク＆ボイス）,デュエット,ボーカルアピール値、ビジュアルアピール値,クールアイドルのみ編成時、クール楽曲で全員のビジュアル＆ボーカルアピール値100%アップ,非該当,クールアイドルのみ編成,クール楽曲,全員のビジュアルアピール値を100%アップ,ビジュアルアピール値
1,パッションデュエット（メイク＆ボイス）,デュエット,ボーカルアピール値、ビジュアルアピール値,パッションアイドルのみ編成時、パッション楽曲で全員のビジュアル＆ボーカルアピール値100%アップ,非該当,パッションアイドルのみ編成,パッション楽曲,全員のビジュアルアピール値を100%アップ,ビジュアルアピール値
1,ドミナント・デュエット（メイク＆ボイス）,デュエット,ボーカルアピール値、ビジュアルアピール値,キュート楽曲でパッションアイドルにタイプボーナスが発生しビジュアルアピール値150%アップ、キュートアイドルのボーカルアピール値160%アップ,非該当,非該当,キュート楽曲,パッションアイドルのビジュアルアピール値を150%アップ,ビジュアルアピール値
1,ドミナント・デュエット（メイク＆ボイス）,デュエット,ボーカルアピール値、ビジュアルアピール値,キュート楽曲でクールアイドルにタイプボーナスが発生しビジュアルアピール値150%アップ、キュートアイドルのボーカルアピール値160%アップ,非該当,非該当,キュート楽曲,クールアイドルのビジュアルアピール値を150%アップ,ビジュアルアピール値
1,ドミナント・デュエット（メイク＆ボイス）,デュエット,ボーカルアピール値、ビジュアルアピール値,クール楽曲でキュートアイドルにタイプボーナスが発生しビジュアルアピール値150%アップ、クールアイドルのボーカルアピール値160%アップ,非該当,非該当,クール楽曲,キュートアイドルのビジュアルアピール値を150%アップ,ビジュアルアピール値
1,ドミナント・デュエット（メイク＆ボイス）,デュエット,ボーカルアピール値、ビジュアルアピール値,クール楽曲でパッションアイドルにタイプボーナスが発生しビジュアルアピール値150%アップ、クールアイドルのボーカルアピール値160%アップ,非該当,非該当,クール楽曲,パッションアイドルのビジュアルアピール値を150%アップ,ビジュアルアピール値
1,ドミナント・デュエット（メイク＆ボイス）,デュエット,ボーカルアピール値、ビジュアルアピール値,パッション楽曲でキュートアイドルにタイプボーナスが発生しビジュアルアピール値150%アップ、パッションアイドルのボーカルアピール値160%アップ,非該当,非該当,パッション楽曲,キュートアイドルのビジュアルアピール値を150%アップ,ビジュアルアピール値
1,ドミナント・デュエット（メイク＆ボイス）,デュエット,ボーカルアピール値、ビジュアルアピール値,パッション楽曲でクールアイドルにタイプボーナスが発生しビジュアルアピール値150%アップ、パッションアイドルのボーカルアピール値160%アップ,非該当,非該当,パッション楽曲,クールアイドルのビジュアルアピール値を150%アップ,ビジュアルアピール値
1,キュートデュエット（ボイス＆ステップ）,デュエット,ボーカルアピール値、ダンスアピール値,キュートアイドルのみ編成時、キュート楽曲で全員のボーカル＆ダンスアピール値100%アップ,非該当,キュートアイドルのみ編成,キュート楽曲,全員のボーカルアピール値を100%アップ,ボーカルアピール値
1,クールデュエット（ボイス＆ステップ）,デュエット,ボーカルアピール値、ダンスアピール値,クールアイドルのみ編成時、クール楽曲で全員のボーカル＆ダンスアピール値100%アップ,非該当,クールアイドルのみ編成,クール楽曲,全員のボーカルアピール値を100%アップ,ボーカルアピール値
1,パッションデュエット（ボイス＆ステップ）,デュエット,ボーカルアピール値、ダンスアピール値,パッションアイドルのみ編成時、パッション楽曲で全員のボーカル＆ダンスアピール値100%アップ,非該当,パッションアイドルのみ編成,パッション楽曲,全員のボーカルアピール値を100%アップ,ボーカルアピール値
1,ドミナント・デュエット（ボイス＆ステップ）,デュエット,ボーカルアピール値、ダンスアピール値,キュート楽曲でパッションアイドルにタイプボーナスが発生しボーカルアピール値150%アップ、キュートアイドルのダンスアピール値160%アップ,非該当,非該当,キュート楽曲,パッションアイドルのボーカルアピール値を150%アップ,ボーカルアピール値
1,ドミナント・デュエット（ボイス＆ステップ）,デュエット,ボーカルアピール値、ダンスアピール値,キュート楽曲でクールアイドルにタイプボーナスが発生しボーカルアピール値150%アップ、キュートアイドルのダンスアピール値160%アップ,非該当,非該当,キュート楽曲,クールアイドルのボーカルアピール値を150%アップ,ボーカルアピール値
1,ドミナント・デュエット（ボイス＆ステップ）,デュエット,ボーカルアピール値、ダンスアピール値,クール楽曲でパッションアイドルにタイプボーナスが発生しボーカルアピール値150%アップ、クールアイドルのダンスアピール値160%アップ,非該当,非該当,クール楽曲,パッションアイドルのボーカルアピール値を150%アップ,ボーカルアピール値
1,ドミナント・デュエット（ボイス＆ステップ）,デュエット,ボーカルアピール値、ダンスアピール値,クール楽曲でキュートアイドルにタイプボーナスが発生しボーカルアピール値150%アップ、クールアイドルのダンスアピール値160%アップ,非該当,非該当,クール楽曲,キュートアイドルのボーカルアピール値を150%アップ,ボーカルアピール値
1,ドミナント・デュエット（ボイス＆ステップ）,デュエット,ボーカルアピール値、ダンスアピール値,パッション楽曲でキュートアイドルにタイプボーナスが発生しボーカルアピール値150%アップ、パッションアイドルのダンスアピール値160%アップ,非該当,非該当,パッション楽曲,キュートアイドルのボーカルアピール値を150%アップ,ボーカルアピール値
1,ドミナント・デュエット（ボイス＆ステップ）,デュエット,ボーカルアピール値、ダンスアピール値,パッション楽曲でクールアイドルにタイプボーナスが発生しボーカルアピール値150%アップ、パッションアイドルのダンスアピール値160%アップ,非該当,非該当,パッション楽曲,クールアイドルのボーカルアピール値を150%アップ,ボーカルアピール値
1,パッションボイス,ステップ,ボーカルアピール値,パッションアイドルのボーカルアピール値30%アップ,非該当,非該当,非該当,パッションアイドルのボーカルアピール値を30%アップ,ボーカルアピール値
1,クールボイス,ボイス,ボーカルアピール値,クールアイドルのボーカルアピール値30%アップ,非該当,非該当,非該当,クールアイドルのボーカルアピール値を30%アップ,ボーカルアピール値
1,キュートボイス,ボイス,ボーカルアピール値,キュートアイドルのボーカルアピール値30%アップ,非該当,非該当,非該当,キュートアイドルのボーカルアピール値を30%アップ,ボーカルアピール値
1,クールボイス,ボイス,ボーカルアピール値,クールアイドルのボーカルアピール値60%アップ,非該当,非該当,非該当,クールアイドルのボーカルアピール値を60%アップ,ボーカルアピール値
1,パッションボイス,ステップ,ボーカルアピール値,パッションアイドルのボーカルアピール値60%アップ,非該当,非該当,非該当,パッションアイドルのボーカルアピール値を60%アップ,ボーカルアピール値
1,キュートボイス,ボイス,ボーカルアピール値,キュートアイドルのボーカルアピール値60%アップ,非該当,非該当,非該当,キュートアイドルのボーカルアピール値を60%アップ,ボーカルアピール値
1,シャイニーボイス,ボイス,ボーカルアピール値,全員のボーカルアピール値48%アップ,非該当,非該当,非該当,全員のボーカルアピール値を48%アップ,ボーカルアピール値
1,クールボイス,ボイス,ボーカルアピール値,クールアイドルのボーカルアピール値90%アップ,非該当,非該当,非該当,クールアイドルのボーカルアピール値を90%アップ,ボーカルアピール値
1,パッションボイス,ステップ,ボーカルアピール値,パッションアイドルのボーカルアピール値90%アップ,非該当,非該当,非該当,パッションアイドルのボーカルアピール値を90%アップ,ボーカルアピール値
1,シャイニーボイス,ボイス,ボーカルアピール値,全員のボーカルアピール値80%アップ,非該当,非該当,非該当,全員のボーカルアピール値を80%アップ,ボーカルアピール値
1,キュートボイス,ボイス,ボーカルアピール値,キュートアイドルのボーカルアピール値90%アップ,非該当,非該当,非該当,キュートアイドルのボーカルアピール値を90%アップ,ボーカルアピール値
1,レゾナンス・メイク,メイク,ビジュアルアピール値／レゾナンス,5種類の特技編成時、ビジュアル以外のアピール値を100%ダウンし、全ての特技効果が重複時に加算,非該当,5種類の特技編成,非該当,全員のボーカルアピール値を100%ダウン,ボーカルアピール値
1,トリコロール・メイク,メイク,ビジュアルアピール値／トリコロール,3タイプ全てのアイドル編成時、全員のビジュアルアピール値80%アップ,非該当,3タイプ全てのアイドル編成,非該当,全員のビジュアルアピール値を80%アップ,ビジュアルアピール値
1,トリコロール・メイク,メイク,ビジュアルアピール値／トリコロール,3タイプ全てのアイドル編成時、全員のビジュアルアピール値100%アップ,非該当,3タイプ全てのアイドル編成,非該当,全員のビジュアルアピール値を100%アップ,ビジュアルアピール値
1,キュートメイク,メイク,ビジュアルアピール値,キュートアイドルのビジュアルアピール値30%アップ,非該当,非該当,非該当,キュートアイドルのビジュアルアピール値を30%アップ,ビジュアルアピール値
1,パッションメイク,メイク,ビジュアルアピール値,パッションアイドルのビジュアルアピール値30%アップ,非該当,非該当,非該当,パッションアイドルのビジュアルアピール値を30%アップ,ビジュアルアピール値
1,クールメイク,メイク,ビジュアルアピール値,クールアイドルのビジュアルアピール値30%アップ,非該当,非該当,非該当,クールアイドルのビジュアルアピール値を30%アップ,ビジュアルアピール値
1,パッションメイク,メイク,ビジュアルアピール値,パッションアイドルのビジュアルアピール値60%アップ,非該当,非該当,非該当,パッションアイドルのビジュアルアピール値を60%アップ,ビジュアルアピール値
1,クールメイク,メイク,ビジュアルアピール値,クールアイドルのビジュアルアピール値60%アップ,非該当,非該当,非該当,クールアイドルのビジュアルアピール値を60%アップ,ビジュアルアピール値
1,キュートメイク,メイク,ビジュアルアピール値,キュートアイドルのビジュアルアピール値60%アップ,非該当,非該当,非該当,キュートアイドルのビジュアルアピール値を60%アップ,ビジュアルアピール値
1,キュートメイク,メイク,ビジュアルアピール値,キュートアイドルのビジュアルアピール値90%アップ,非該当,非該当,非該当,キュートアイドルのビジュアルアピール値を90%アップ,ビジュアルアピール値
1,パッションメイク,メイク,ビジュアルアピール値,パッションアイドルのビジュアルアピール値90%アップ,非該当,非該当,非該当,パッションアイドルのビジュアルアピール値を90%アップ,ビジュアルアピール値
1,クールメイク,メイク,ビジュアルアピール値,クールアイドルのビジュアルアピール値90%アップ,非該当,非該当,非該当,クールアイドルのビジュアルアピール値を90%アップ,ビジュアルアピール値
1,レゾナンス・ステップ,ステップ,ダンスアピール値／レゾナンス,5種類の特技編成時、ダンス以外のアピール値を100%ダウンし、全ての特技効果が重複時に加算,非該当,5種類の特技編成,非該当,全員のボーカルアピール値を100%ダウン,ボーカルアピール値
1,トリコロール・ステップ,ステップ,ダンスアピール値／トリコロール,3タイプ全てのアイドル編成時、全員のダンスアピール値80%アップ,非該当,3タイプ全てのアイドル編成,非該当,全員のダンスアピール値を80%アップ,ダンスアピール値
1,トリコロール・ステップ,ステップ,ダンスアピール値／トリコロール,3タイプ全てのアイドル編成時、全員のダンスアピール値100%アップ,非該当,3タイプ全てのアイドル編成,非該当,全員のダンスアピール値を100%アップ,ダンスアピール値
1,キュートデュエット（ステップ＆メイク）,デュエット,ダンスアピール値、ビジュアルアピール値,キュートアイドルのみ編成時、キュート楽曲で全員のダンス＆ビジュアルアピール値100%アップ,非該当,キュートアイドルのみ編成,キュート楽曲,全員のダンスアピール値を100%アップ,ダンスアピール値
1,クールデュエット（ステップ＆メイク）,デュエット,ダンスアピール値、ビジュアルアピール値,クールアイドルのみ編成時、クール楽曲で全員のダンス＆ビジュアルアピール値100%アップ,非該当,クールアイドルのみ編成,クール楽曲,全員のダンスアピール値を100%アップ,ダンスアピール値
1,パッションデュエット（ステップ＆メイク）,デュエット,ダンスアピール値、ビジュアルアピール値,パッションアイドルのみ編成時、パッション楽曲で全員のダンス＆ビジュアルアピール値100%アップ,非該当,パッションアイドルのみ編成,パッション楽曲,全員のダンスアピール値を100%アップ,ダンスアピール値
1,ドミナント・デュエット（ステップ＆メイク）,デュエット,ダンスアピール値、ビジュアルアピール値,キュート楽曲でパッションアイドルにタイプボーナスが発生しダンスアピール値150%アップ、キュートアイドルのビジュアルアピール値160%アップ,非該当,非該当,キュート楽曲,パッションアイドルのダンスアピール値を150%アップ,ダンスアピール値
1,ドミナント・デュエット（ステップ＆メイク）,デュエット,ダンスアピール値、ビジュアルアピール値,キュート楽曲でクールアイドルにタイプボーナスが発生しダンスアピール値150%アップ、キュートアイドルのビジュアルアピール値160%アップ,非該当,非該当,キュート楽曲,クールアイドルのダンスアピール値を150%アップ,ダンスアピール値
1,ドミナント・デュエット（ステップ＆メイク）,デュエット,ダンスアピール値、ビジュアルアピール値,クール楽曲でキュートアイドルにタイプボーナスが発生しダンスアピール値150%アップ、クールアイドルのビジュアルアピール値160%アップ,非該当,非該当,クール楽曲,キュートアイドルのダンスアピール値を150%アップ,ダンスアピール値
1,ドミナント・デュエット（ステップ＆メイク）,デュエット,ダンスアピール値、ビジュアルアピール値,クール楽曲でパッションアイドルにタイプボーナスが発生しダンスアピール値150%アップ、クールアイドルのビジュアルアピール値160%アップ,非該当,非該当,クール楽曲,パッションアイドルのダンスアピール値を150%アップ,ダンスアピール値
1,ドミナント・デュエット（ステップ＆メイク）,デュエット,ダンスアピール値、ビジュアルアピール値,パッション楽曲でクールアイドルにタイプボーナスが発生しダンスアピール値150%アップ、パッションアイドルのビジュアルアピール値160%アップ,非該当,非該当,パッション楽曲,クールアイドルのダンスアピール値を150%アップ,ダンスアピール値
1,ドミナント・デュエット（ステップ＆メイク）,デュエット,ダンスアピール値、ビジュアルアピール値,パッション楽曲でキュートアイドルにタイプボーナスが発生しダンスアピール値150％アップ、パッションアイドルのビジュアルアピール値160%アップ,非該当,非該当,パッション楽曲,キュートアイドルのダンスアピール値を150%アップ,ダンスアピール値
1,パッションステップ,ステップ,ダンスアピール値,パッションアイドルのダンスアピール値30%アップ,非該当,非該当,非該当,パッションアイドルのダンスアピール値を30%アップ,ダンスアピール値
1,キュートステップ,ステップ,ダンスアピール値,キュートアイドルのダンスアピール値30%アップ,非該当,非該当,非該当,キュートアイドルのダンスアピール値を30%アップ,ダンスアピール値
1,クールステップ,ステップ,ダンスアピール値,クールアイドルのダンスアピール値30%アップ,非該当,非該当,非該当,クールアイドルのダンスアピール値を30%アップ,ダンスアピール値
1,キュートステップ,ステップ,ダンスアピール値,キュートアイドルのダンスアピール値60%アップ,非該当,非該当,非該当,キュートアイドルのダンスアピール値を60%アップ,ダンスアピール値
1,パッションステップ,ステップ,ダンスアピール値,パッションアイドルのダンスアピール値60%アップ,非該当,非該当,非該当,パッションアイドルのダンスアピール値を60%アップ,ダンスアピール値
1,クールステップ,ステップ,ダンスアピール値,クールアイドルのダンスアピール値60%アップ,非該当,非該当,非該当,クールアイドルのダンスアピール値を60%アップ,ダンスアピール値
1,クールステップ,ステップ,ダンスアピール値,クールアイドルのダンスアピール値90%アップ,非該当,非該当,非該当,クールアイドルのダンスアピール値を90%アップ,ダンスアピール値
1,パッションステップ,ステップ,ダンスアピール値,パッションアイドルのダンスアピール値90%アップ,非該当,非該当,非該当,パッションアイドルのダンスアピール値を90%アップ,ダンスアピール値
1,キュートステップ,ステップ,ダンスアピール値,キュートアイドルのダンスアピール値90%アップ,非該当,非該当,非該当,キュートアイドルのダンスアピール値を90%アップ,ダンスアピール値
