パーツ番号,センター効果,センター効果分類,センター効果分類説明,センター効果説明,発動要件,編成要件,楽曲要件,センター効果パーツ,適用効果
1,パッションメイク★1,メイク,ビジュアルアピール値,パッションアイドルのビジュアルアピール値30%アップ,非該当,非該当,非該当,パッションアイドルのビジュアルアピール値30%アップ,ビジュアルアピール値
1,キュートメイク★2,メイク,ビジュアルアピール値,キュートアイドルのビジュアルアピール値60%アップ,非該当,非該当,非該当,キュートアイドルのビジュアルアピール値60%アップ,ビジュアルアピール値
1,クールメイク★2,メイク,ビジュアルアピール値,クールアイドルのビジュアルアピール値60%アップ,非該当,非該当,非該当,クールアイドルのビジュアルアピール値60%アップ,ビジュアルアピール値
1,パッションメイク★2,メイク,ビジュアルアピール値,パッションアイドルのビジュアルアピール値60%アップ,非該当,非該当,非該当,パッションアイドルのビジュアルアピール値60%アップ,ビジュアルアピール値
1,キュートメイク★3,メイク,ビジュアルアピール値,キュートアイドルのビジュアルアピール値90%アップ,非該当,非該当,非該当,キュートアイドルのビジュアルアピール値90%アップ,ビジュアルアピール値
1,クールメイク★3,メイク,ビジュアルアピール値,クールアイドルのビジュアルアピール値90%アップ,非該当,非該当,非該当,クールアイドルのビジュアルアピール値90%アップ,ビジュアルアピール値
1,パッションメイク★3,メイク,ビジュアルアピール値,パッションアイドルのビジュアルアピール値90%アップ,非該当,非該当,非該当,パッションアイドルのビジュアルアピール値90%アップ,ビジュアルアピール値
1,キュートブリリアンス★1,ブリリアンス,全アピール値,キュートアイドルの全アピール値10%アップ,非該当,非該当,非該当,キュートアイドルの全アピール値10%アップ,全アピール値
1,クールブリリアンス★1,ブリリアンス,全アピール値,クールアイドルの全アピール値10%アップ,非該当,非該当,非該当,クールアイドルの全アピール値10%アップ,全アピール値
1,パッションブリリアンス★1,ブリリアンス,全アピール値,パッションアイドルの全アピール値10%アップ,非該当,非該当,非該当,パッションアイドルの全アピール値10%アップ,全アピール値
1,キュートブリリアンス★2,ブリリアンス,全アピール値,キュートアイドルの全アピール値30%アップ,非該当,非該当,非該当,キュートアイドルの全アピール値30%アップ,全アピール値
1,クールブリリアンス★2,ブリリアンス,全アピール値,クールアイドルの全アピール値30%アップ,非該当,非該当,非該当,クールアイドルの全アピール値30%アップ,全アピール値
1,パッションブリリアンス★2,ブリリアンス,全アピール値,パッションアイドルの全アピール値30%アップ,非該当,非該当,非該当,パッションアイドルの全アピール値30%アップ,全アピール値
1,キュートブリリアンス★3,ブリリアンス,全アピール値,キュートアイドルの全アピール値40%アップ,非該当,非該当,非該当,キュートアイドルの全アピール値40%アップ,全アピール値
1,クールブリリアンス★3,ブリリアンス,全アピール値,クールアイドルの全アピール値40%アップ,非該当,非該当,非該当,クールアイドルの全アピール値40%アップ,全アピール値
1,パッションブリリアンス★3,ブリリアンス,全アピール値,パッションアイドルの全アピール値40%アップ,非該当,非該当,非該当,パッションアイドルの全アピール値40%アップ,全アピール値
1,キュートエナジー★1,エナジー,ライフ値,キュートアイドルのライフ10%アップ,非該当,非該当,非該当,キュートアイドルのライフ10%アップ,ライフ
1,クールエナジー★1,エナジー,ライフ値,クールアイドルのライフ10%アップ,非該当,非該当,非該当,クールアイドルのライフ10%アップ,ライフ
1,パッションエナジー★1,エナジー,ライフ値,パッションアイドルのライフ10%アップ,非該当,非該当,非該当,パッションアイドルのライフ10%アップ,ライフ
1,キュートエナジー★2,エナジー,ライフ値,キュートアイドルのライフ20%アップ,非該当,非該当,非該当,キュートアイドルのライフ20%アップ,ライフ
1,クールエナジー★2,エナジー,ライフ値,クールアイドルのライフ20%アップ,非該当,非該当,非該当,クールアイドルのライフ20%アップ,ライフ
1,パッションエナジー★2,エナジー,ライフ値,パッションアイドルのライフ20%アップ,非該当,非該当,非該当,パッションアイドルのライフ20%アップ,ライフ
1,キュートエナジー★3,エナジー,ライフ値,キュートアイドルのライフ30%アップ,非該当,非該当,非該当,キュートアイドルのライフ30%アップ,ライフ
1,クールエナジー★3,エナジー,ライフ値,クールアイドルのライフ30%アップ,非該当,非該当,非該当,クールアイドルのライフ30%アップ,ライフ
1,パッションエナジー★3,エナジー,ライフ値,パッションアイドルのライフ30%アップ,非該当,非該当,非該当,パッションアイドルのライフ30%アップ,ライフ
1,キュートアビリティ★1,アビリティ,特技発動確率,キュートアイドルの特技発動確率15%アップ,非該当,非該当,非該当,キュートアイドルの特技発動確率15%アップ,特技発動確率
1,クールアビリティ★1,アビリティ,特技発動確率,クールアイドルの特技発動確率15%アップ,非該当,非該当,非該当,クールアイドルの特技発動確率15%アップ,特技発動確率
1,パッションアビリティ★1,アビリティ,特技発動確率,パッションアイドルの特技発動確率15%アップ,非該当,非該当,非該当,パッションアイドルの特技発動確率15%アップ,特技発動確率
1,キュートアビリティ★2,アビリティ,特技発動確率,キュートアイドルの特技発動確率30%アップ,非該当,非該当,非該当,キュートアイドルの特技発動確率30%アップ,特技発動確率
1,クールアビリティ★2,アビリティ,特技発動確率,クールアイドルの特技発動確率30%アップ,非該当,非該当,非該当,クールアイドルの特技発動確率30%アップ,特技発動確率
1,パッションアビリティ★2,アビリティ,特技発動確率,パッションアイドルの特技発動確率30%アップ,非該当,非該当,非該当,パッションアイドルの特技発動確率30%アップ,特技発動確率
1,キュートアビリティ★3,アビリティ,特技発動確率,キュートアイドルの特技発動確率40%アップ,非該当,非該当,非該当,キュートアイドルの特技発動確率40%アップ,特技発動確率
1,クールアビリティ★3,アビリティ,特技発動確率,クールアイドルの特技発動確率40%アップ,非該当,非該当,非該当,クールアイドルの特技発動確率40%アップ,特技発動確率
1,パッションアビリティ★3,アビリティ,特技発動確率,パッションアイドルの特技発動確率40%アップ,非該当,非該当,非該当,パッションアイドルの特技発動確率40%アップ,特技発動確率
1,キュートプリンセス★2,プリンセス,特技発動確率,キュートアイドルのみ編成時、全員の全アピール値35%アップ,非該当,キュートアイドルのみ編成,非該当,全員の全アピール値35%アップ,全アピール値
1,クールプリンセス★2,プリンセス,特技発動確率,クールアイドルのみ編成時、全員の全アピール値35%アップ,非該当,クールアイドルのみ編成,非該当,全員の全アピール値35%アップ,全アピール値
1,パッションプリンセス★2,プリンセス,特技発動確率,パッションアイドルのみ編成時、全員の全アピール値35%アップ,非該当,パッションアイドルのみ編成,非該当,全員の全アピール値35%アップ,全アピール値
1,トリコロール・ボイス★2,ボイス,ボーカルアピール値／トリコロール,3タイプ全てのアイドル編成時、全員のボーカルアピール値80%アップ,非該当,3タイプ全てのアイドル編成,非該当,全員のボーカルアピール値80%アップ,ボーカルアピール値
1,トリコロール・ステップ★2,ステップ,ダンスアピール値／トリコロール,3タイプ全てのアイドル編成時、全員のダンスアピール値80%アップ,非該当,3タイプ全てのアイドル編成,非該当,全員のダンスアピール値80%アップ,ダンスアピール値
1,トリコロール・メイク★2,メイク,ビジュアルアピール値／トリコロール,3タイプ全てのアイドル編成時、全員のビジュアルアピール値80%アップ,非該当,3タイプ全てのアイドル編成,非該当,全員のビジュアルアピール値80%アップ,ビジュアルアピール値
1,トリコロール・アビリティ★2,アビリティ,特技発動確率／トリコロール,3タイプ全てのアイドル編成時、全員の特技発動確率40%アップ,非該当,3タイプ全てのアイドル編成,非該当,全員の特技発動確率40%アップ,特技発動確率
1,キュート・クロス・クール★2,クロス,全アピール値、獲得ファン数,キュートとクールのアイドル編成時、全員の全アピール値20%アップ、獲得ファン数が8%アップ,非該当,キュートとクールのアイドル編成,非該当,全員の全アピール値20%アップ,全アピール値
1,キュート・クロス・クール★3,クロス,全アピール値、獲得ファン数,キュートとクールのアイドル編成時、全員の全アピール値30%アップ、獲得ファン数が10%アップ,非該当,キュートとクールのアイドル編成,非該当,全員の全アピール値30%アップ,全アピール値
1,キュート・クロス・パッション★2,クロス,全アピール値、獲得ファン数,キュートとパッションのアイドル編成時、全員の全アピール値20%アップ、獲得ファン数が8%アップ,非該当,キュートとパッションのアイドル編成,非該当,全員の全アピール値20%アップ,全アピール値
1,キュート・クロス・パッション★3,クロス,全アピール値、獲得ファン数,キュートとパッションのアイドル編成時、全員の全アピール値30%アップ、獲得ファン数が10%アップ,非該当,キュートとパッションのアイドル編成,非該当,全員の全アピール値30%アップ,全アピール値
1,クール・クロス・キュート★2,クロス,全アピール値、特技発動確率,クールとキュートのアイドル編成時、全員の全アピール値20%アップ、全員の特技発動率25%アップ,非該当,クールとキュートのアイドル編成,非該当,全員の全アピール値20%アップ,全アピール値
1,クール・クロス・キュート★3,クロス,全アピール値、特技発動確率,クールとキュートのアイドル編成時、全員の全アピール値30%アップ、全員の特技発動率35%アップ,非該当,クールとキュートのアイドル編成,非該当,全員の全アピール値30%アップ,全アピール値
1,クール・クロス・パッション★2,クロス,全アピール値、特技発動確率,クールとパッションのアイドル編成時、全員の全アピール値20%アップ、全員の特技発動率25%アップ,非該当,クールとパッションのアイドル編成,非該当,全員の全アピール値20%アップ,全アピール値
1,クール・クロス・パッション★3,クロス,全アピール値、特技発動確率,クールとパッションのアイドル編成時、全員の全アピール値30%アップ、全員の特技発動率35%アップ,非該当,クールとパッションのアイドル編成,非該当,全員の全アピール値30%アップ,全アピール値
1,パッション・クロス・キュート★2,クロス,全アピール値、ライフ値,パッションとキュートのアイドル編成時、全員の全アピール値20%アップ、全員のライフ15%アップ,非該当,パッションとキュートのアイドル編成,非該当,全員の全アピール値20%アップ,全アピール値
1,パッション・クロス・キュート★3,クロス,全アピール値、ライフ値,パッションとキュートのアイドル編成時、全員の全アピール値30%アップ、全員のライフ25%アップ,非該当,パッションとキュートのアイドル編成,非該当,全員の全アピール値30%アップ,全アピール値
1,パッション・クロス・クール★2,クロス,全アピール値、ライフ値,パッションとクールのアイドル編成時、全員の全アピール値20%アップ、全員のライフ15%アップ,非該当,パッションとクールのアイドル編成,非該当,全員の全アピール値20%アップ,全アピール値
1,パッション・クロス・クール★3,クロス,全アピール値、ライフ値,パッションとクールのアイドル編成時、全員の全アピール値30%アップ、全員のライフ25%アップ,非該当,パッションとクールのアイドル編成,非該当,全員の全アピール値30%アップ,全アピール値
1,シンデレラチャーム★2,シンデレラチャーム,獲得ファン数,LIVEクリア時、獲得ファン数が32%アップ,LIVEクリア,非該当,非該当,全員の獲得ファン数が32%アップ,獲得ファン数
2,キュート・クロス・クール★2,クロス,全アピール値、獲得ファン数,キュートとクールのアイドル編成時、全員の全アピール値20%アップ、獲得ファン数が8%アップ,非該当,キュートとクールのアイドル編成,非該当,全員の獲得ファン数が8%アップ,獲得ファン数
2,キュート・クロス・クール★3,クロス,全アピール値、獲得ファン数,キュートとクールのアイドル編成時、全員の全アピール値30%アップ、獲得ファン数が10%アップ,非該当,キュートとクールのアイドル編成,非該当,全員の獲得ファン数が10%アップ,獲得ファン数
2,キュート・クロス・パッション★2,クロス,全アピール値、獲得ファン数,キュートとパッションのアイドル編成時、全員の全アピール値20%アップ、獲得ファン数が8%アップ,非該当,キュートとパッションのアイドル編成,非該当,全員の獲得ファン数が8%アップ,獲得ファン数
2,キュート・クロス・パッション★3,クロス,全アピール値、獲得ファン数,キュートとパッションのアイドル編成時、全員の全アピール値30%アップ、獲得ファン数が10%アップ,非該当,キュートとパッションのアイドル編成,非該当,全員の獲得ファン数が10%アップ,獲得ファン数
2,クール・クロス・キュート★2,クロス,全アピール値、特技発動確率,クールとキュートのアイドル編成時、全員の全アピール値20%アップ、全員の特技発動率25%アップ,非該当,クールとキュートのアイドル編成,非該当,全員の特技発動率25%アップ,特技発動確率
2,クール・クロス・キュート★3,クロス,全アピール値、特技発動確率,クールとキュートのアイドル編成時、全員の全アピール値30%アップ、全員の特技発動率35%アップ,非該当,クールとキュートのアイドル編成,非該当,全員の特技発動率35%アップ,特技発動確率
2,クール・クロス・パッション★2,クロス,全アピール値、特技発動確率,クールとパッションのアイドル編成時、全員の全アピール値20%アップ、全員の特技発動率25%アップ,非該当,クールとパッションのアイドル編成,非該当,全員の特技発動率25%アップ,特技発動確率
2,クール・クロス・パッション★3,クロス,全アピール値、特技発動確率,クールとパッションのアイドル編成時、全員の全アピール値30%アップ、全員の特技発動率35%アップ,非該当,クールとパッションのアイドル編成,非該当,全員の特技発動率35%アップ,特技発動確率
2,パッション・クロス・キュート★2,クロス,全アピール値、ライフ値,パッションとキュートのアイドル編成時、全員の全アピール値20%アップ、全員のライフ15%アップ,非該当,パッションとキュートのアイドル編成,非該当,全員のライフ15%アップ,ライフ
2,パッション・クロス・キュート★3,クロス,全アピール値、ライフ値,パッションとキュートのアイドル編成時、全員の全アピール値30%アップ、全員のライフ25%アップ,非該当,パッションとキュートのアイドル編成,非該当,全員のライフ25%アップ,ライフ
2,パッション・クロス・クール★2,クロス,全アピール値、ライフ値,パッションとクールのアイドル編成時、全員の全アピール値20%アップ、全員のライフ15%アップ,非該当,パッションとクールのアイドル編成,非該当,全員のライフ15%アップ,ライフ
2,パッション・クロス・クール★3,クロス,全アピール値、ライフ値,パッションとクールのアイドル編成時、全員の全アピール値30%アップ、全員のライフ25%アップ,非該当,パッションとクールのアイドル編成,非該当,全員のライフ25%アップ,ライフ
