パーツ番号,特技,特技分類,特技説明,発動要件,楽曲要件,編成要件,発動間隔,発動確率,継続期間,特技パーツ,特技パーツ効果
1,SCOREボーナス★3 / 9秒高確率,スコアボーナス,9秒毎、高確率で少しの間、PERFECT/GREATのスコア17%アップ,非該当,非該当,非該当,9,高確率,少しの間,PERFECT/GREATのスコアを17%アップ,スコアボーナス
1,SCOREボーナス★3 / 11秒高確率,スコアボーナス,11秒毎、高確率でしばらくの間、PERFECT/GREATのスコア17%アップ,非該当,非該当,非該当,11,高確率,しばらくの間,PERFECT/GREATのスコアを17%アップ,スコアボーナス
1,SCOREボーナス★3 / 13秒高確率,スコアボーナス,13秒毎、高確率でかなりの間、PERFECT/GREATのスコア17%アップ,非該当,非該当,非該当,13,高確率,かなりの間,PERFECT/GREATのスコアを17%アップ,スコアボーナス
1,COMBOボーナス★1 / 6秒低確率,COMBOボーナス,6秒毎、低確率で少しの間、COMBOボーナス8%アップ,非該当,非該当,非該当,6,低確率,少しの間,COMBOボーナスを8%アップ,COMBOボーナス
1,COMBOボーナス★1 / 7秒低確率,COMBOボーナス,7秒毎、低確率でしばらくの間、COMBOボーナス8%アップ,非該当,非該当,非該当,7,低確率,しばらくの間,COMBOボーナスを8%アップ,COMBOボーナス
1,COMBOボーナス★1 / 9秒低確率,COMBOボーナス,9秒毎、低確率でかなりの間、COMBOボーナス8%アップ,非該当,非該当,非該当,9,低確率,かなりの間,COMBOボーナスを8%アップ,COMBOボーナス
1,COMBOボーナス★2 / 4秒中確率,COMBOボーナス,4秒毎、中確率で一瞬の間、COMBOボーナス14%アップ,非該当,非該当,非該当,4,中確率,一瞬の間,COMBOボーナスを14%アップ,COMBOボーナス
1,COMBOボーナス★2 / 6秒中確率,COMBOボーナス,6秒毎、中確率でわずかな間、COMBOボーナス14%アップ,非該当,非該当,非該当,6,中確率,わずかな間,COMBOボーナスを14%アップ,COMBOボーナス
1,COMBOボーナス★2 / 7秒高確率,COMBOボーナス,7秒毎、高確率でわずかな間、COMBOボーナス14%アップ,非該当,非該当,非該当,7,高確率,わずかな間,COMBOボーナスを14%アップ,COMBOボーナス
1,COMBOボーナス★2 / 7秒中確率,COMBOボーナス,7秒毎、中確率で少しの間、COMBOボーナス14%アップ,非該当,非該当,非該当,7,中確率,少しの間,COMBOボーナスを14%アップ,COMBOボーナス
1,COMBOボーナス★2 / 9秒中確率,COMBOボーナス,9秒毎、中確率でしばらくの間、COMBOボーナス14%アップ,非該当,非該当,非該当,9,中確率,しばらくの間,COMBOボーナスを14%アップ,COMBOボーナス
1,COMBOボーナス★2 / 11秒高確率,COMBOボーナス,11秒毎、高確率でしばらくの間、COMBOボーナス14%アップ,非該当,非該当,非該当,11,高確率,しばらくの間,COMBOボーナスを14%アップ,COMBOボーナス
1,COMBOボーナス★2 / 11秒中確率,COMBOボーナス,11秒毎、中確率でかなりの間、COMBOボーナス14%アップ,非該当,非該当,非該当,11,中確率,かなりの間,COMBOボーナスを14%アップ,COMBOボーナス
1,COMBOボーナス★2 / 13秒高確率,COMBOボーナス,13秒毎、高確率でかなりの間、COMBOボーナス14%アップ,非該当,非該当,非該当,13,高確率,かなりの間,COMBOボーナスを14%アップ,COMBOボーナス
1,PERFECTサポート★2 / 6秒中確率,PERFCTサポート,6秒毎、中確率で一瞬の間、GREAT/NICEをPERFECTにする,非該当,非該当,非該当,6,中確率,一瞬の間,GREAT/NICEをPERFECTにする,PERFECTサポート
1,PERFECTサポート★2 / 12秒中確率,PERFCTサポート,12秒毎、中確率で少しの間、GREAT/NICEをPERFECTにする,非該当,非該当,非該当,12,中確率,少しの間,GREAT/NICEをPERFECTにする,PERFECTサポート
1,PERFECTサポート★2 / 15秒中確率,PERFCTサポート,15秒毎、中確率でしばらくの間、GREAT/NICEをPERFECTにする,非該当,非該当,非該当,15,中確率,しばらくの間,GREAT/NICEをPERFECTにする,PERFECTサポート
1,ライフ回復★1 / 9秒低確率,ライフ回復,9秒毎、低確率で少しの間、PERFECTでライフ2回復,非該当,非該当,非該当,9,低確率,少しの間,PERFECTでライフを2回復,ライフ回復
1,ライフ回復★1 / 11秒低確率,ライフ回復,11秒毎、低確率でしばらくの間、PERFECTでライフ2回復,非該当,非該当,非該当,11,低確率,しばらくの間,PERFECTでライフを2回復,ライフ回復
1,ライフ回復★1 / 13秒低確率,ライフ回復,13秒毎、低確率でかなりの間、PERFECTでライフ2回復,非該当,非該当,非該当,13,低確率,かなりの間,PERFECTでライフを2回復,ライフ回復
1,ライフ回復★2 / 6秒中確率,ライフ回復,6秒毎、中確率で一瞬の間、PERFECTでライフ3回復,非該当,非該当,非該当,6,中確率,一瞬の間,PERFECTでライフを3回復,ライフ回復
1,ライフ回復★2 / 7秒高確率,ライフ回復,7秒毎、高確率で一瞬の間、PERFECTでライフ3回復,非該当,非該当,非該当,7,高確率,一瞬の間,PERFECTでライフを3回復,ライフ回復
1,ライフ回復★2 / 8秒中確率,ライフ回復,8秒毎、中確率でわずかな間、PERFECTでライフ3回復,非該当,非該当,非該当,8,中確率,わずかな間,PERFECTでライフを3回復,ライフ回復
1,ライフ回復★2 / 10秒高確率,ライフ回復,10秒毎、高確率でわずかな間、PERFECTでライフ3回復,非該当,非該当,非該当,10,高確率,わずかな間,PERFECTでライフを3回復,ライフ回復
1,ライフ回復★2 / 13秒高確率,ライフ回復,13秒毎、高確率で少しの間、PERFECTでライフ3回復,非該当,非該当,非該当,13,高確率,少しの間,PERFECTでライフを3回復,ライフ回復
1,ライフ回復★2 / 14秒中確率,ライフ回復,14秒毎、中確率でしばらくの間、PERFECTでライフ3回復,非該当,非該当,非該当,14,中確率,しばらくの間,PERFECTでライフを3回復,ライフ回復
1,ライフ回復★2 / 17秒中確率,ライフ回復,17秒毎、中確率でかなりの間、PERFECTでライフ3回復,非該当,非該当,非該当,17,中確率,かなりの間,PERFECTでライフを3回復,ライフ回復
1,ダメージガード★2 / 7秒中確率,ダメージガード,7秒毎、中確率で少しの間、ライフが減少しなくなる,非該当,非該当,非該当,7,中確率,少しの間,ライフが減少しなくなる,ダメージガード
1,ダメージガード★2 / 7秒高確率,ダメージガード,7秒毎、高確率でわずかな間、ライフが減少しなくなる,非該当,非該当,非該当,7,高確率,わずかな間,ライフが減少しなくなる,ダメージガード
1,ダメージガード★2 / 9秒高確率,ダメージガード,9秒毎、高確率で少しの間、ライフが減少しなくなる,非該当,非該当,非該当,9,高確率,少しの間,ライフが減少しなくなる,ダメージガード
1,ダメージガード★2 / 9秒中確率,ダメージガード,9秒毎、中確率でしばらくの間、ライフが減少しなくなる,非該当,非該当,非該当,9,中確率,しばらくの間,ライフが減少しなくなる,ダメージガード
1,ダメージガード★2 / 11秒高確率,ダメージガード,11秒毎、高確率でしばらくの間、ライフが減少しなくなる,非該当,非該当,非該当,11,高確率,しばらくの間,ライフが減少しなくなる,ダメージガード
1,ダメージガード★2 / 11秒中確率,ダメージガード,11秒毎、中確率でかなりの間、ライフが減少しなくなる,非該当,非該当,非該当,11,中確率,かなりの間,ライフが減少しなくなる,ダメージガード
1,オーバーロード★2 / 7秒高確率,ライフ消費、スコアボーナス、COMBOサポート,7秒毎、高確率でライフを11消費し、わずかな間PERFECT/GREATのスコア18%アップ、NICE/BADでもCOMBO継続,ライフを11消費,非該当,非該当,7,高確率,わずかな間,PERFECT/GREATのスコアを18%アップ,スコアボーナス
1,オーバーロード★2 / 7秒中確率,ライフ消費、スコアボーナス、COMBOサポート,7秒毎、中確率でライフを11消費し、少しの間PERFECT/GREATのスコア18%アップ、NICE/BADでもCOMBO継続,ライフを11消費,非該当,非該当,7,中確率,少しの間,PERFECT/GREATのスコアを18%アップ,スコアボーナス
1,オーバーロード★2 / 9秒中確率,ライフ消費、スコアボーナス、COMBOサポート,9秒毎、中確率でライフを15消費し、しばらくの間PERFECT/GREATのスコア18%アップ、NICE/BADでもCOMBO継続,ライフを15消費,非該当,非該当,9,中確率,しばらくの間,PERFECT/GREATのスコアを18%アップ,スコアボーナス
1,コンセントレーション★2 / 7秒高確率,スコアボーナス、集中,7秒毎、高確率でわずかな間、PERFECTのスコア19%アップ、PERFECT判定される時間が短くなる,非該当,非該当,非該当,7,高確率,わずかな間,PERFECTのスコアを19%アップ,スコアボーナス
1,コンセントレーション★2 / 9秒高確率,スコアボーナス、集中,9秒毎、高確率で少しの間、PERFECTのスコア19%アップ、PERFECT判定される時間が短くなる,非該当,非該当,非該当,9,高確率,少しの間,PERFECTのスコアを19%アップ,スコアボーナス
1,コンセントレーション★2 / 9秒中確率,スコアボーナス、集中,9秒毎、中確率でしばらくの間、PERFECTのスコア19%アップ、PERFECT判定される時間が短くなる,非該当,非該当,非該当,9,中確率,しばらくの間,PERFECTのスコアを19%アップ,スコアボーナス
1,コンセントレーション★2 / 11秒高確率,スコアボーナス、集中,11秒毎、高確率でしばらくの間、PERFECTのスコア19%アップ、PERFECT判定される時間が短くなる,非該当,非該当,非該当,11,高確率,しばらくの間,PERFECTのスコアを19%アップ,スコアボーナス
1,コンセントレーション★2 / 13秒高確率,スコアボーナス、集中,13秒毎、高確率でかなりの間、PERFECTのスコア19%アップ、PERFECT判定される時間が短くなる,非該当,非該当,非該当,13,高確率,かなりの間,PERFECTのスコアを19%アップ,スコアボーナス
1,コンセントレーション★3 / 7秒高確率,スコアボーナス、集中,7秒毎、高確率でわずかな間、PERFECTのスコア22%アップ、PERFECT判定される時間が短くなる,非該当,非該当,非該当,7,高確率,わずかな間,PERFECTのスコアを22%アップ,スコアボーナス
1,コンセントレーション★3 / 9秒高確率,スコアボーナス、集中,9秒毎、高確率で少しの間、PERFECTのスコア22%アップ、PERFECT判定される時間が短くなる,非該当,非該当,非該当,9,高確率,少しの間,PERFECTのスコアを22%アップ,スコアボーナス
1,コンセントレーション★3 / 11秒高確率,スコアボーナス、集中,11秒毎、高確率でしばらくの間、PERFECTのスコア22%アップ、PERFECT判定される時間が短くなる,非該当,非該当,非該当,11,高確率,しばらくの間,PERFECTのスコアを22%アップ,スコアボーナス
1,コンセントレーション★3 / 11秒中確率,スコアボーナス、集中,11秒毎、中確率でかなりの間、PERFECTのスコア22%アップ、PERFECT判定される時間が短くなる,非該当,非該当,非該当,11,中確率,かなりの間,PERFECTのスコアを22%アップ,スコアボーナス
1,コンセントレーション★3 / 13秒高確率,スコアボーナス、集中,13秒毎、高確率でかなりの間、PERFECTのスコア22%アップ、PERFECT判定される時間が短くなる,非該当,非該当,非該当,13,高確率,かなりの間,PERFECTのスコアを22%アップ,スコアボーナス
1,スキルブースト★2 / 7秒高確率,特技ブースト,7秒毎、高確率でわずかな間、他アイドルの特技効果を中アップ,非該当,非該当,非該当,7,高確率,わずかな間,他アイドルの特技効果を中アップ,特技ブースト
1,スキルブースト★2 / 9秒高確率,特技ブースト,9秒毎、高確率で少しの間、他アイドルの特技効果を中アップ,非該当,非該当,非該当,9,高確率,少しの間,他アイドルの特技効果を中アップ,特技ブースト
1,スキルブースト★2 / 11秒高確率,特技ブースト,11秒毎、高確率でしばらくの間、他アイドルの特技効果を中アップ,非該当,非該当,非該当,11,高確率,しばらくの間,他アイドルの特技効果を中アップ,特技ブースト
1,キュートフォーカス★2 / 6秒中確率,スコアボーナス、COMBOボーナス,キュートアイドルのみ編成時、6秒毎、中確率でわずかな間、PERFECTのスコア14%アップ、COMBOボーナス11%アップ,非該当,非該当,キュートアイドルのみ編成,6,中確率,わずかな間,PERFECTのスコアを14%アップ,スコアボーナス
1,クールフォーカス★2 / 6秒中確率,スコアボーナス、COMBOボーナス,クールアイドルのみ編成時、6秒毎、中確率でわずかな間、PERFECTのスコア14%アップ、COMBOボーナス11%アップ,非該当,非該当,クールアイドルのみ編成,6,中確率,わずかな間,PERFECTのスコアを14%アップ,スコアボーナス
1,パッションフォーカス★2 / 6秒中確率,スコアボーナス、COMBOボーナス,パッションアイドルのみ編成時、6秒毎、中確率でわずかな間、PERFECTのスコア14%アップ、COMBOボーナス11%アップ,非該当,非該当,パッションアイドルのみ編成,6,中確率,わずかな間,PERFECTのスコアを14%アップ,スコアボーナス
1,キュートフォーカス★2 / 7秒高確率,スコアボーナス、COMBOボーナス,キュートアイドルのみ編成時、7秒毎、高確率でわずかな間、PERFECTのスコア14%アップ、COMBOボーナス11%アップ,非該当,非該当,キュートアイドルのみ編成,7,高確率,わずかな間,PERFECTのスコアを14%アップ,スコアボーナス
1,クールフォーカス★2 / 7秒高確率,スコアボーナス、COMBOボーナス,クールアイドルのみ編成時、7秒毎、高確率でわずかな間、PERFECTのスコア14%アップ、COMBOボーナス11%アップ,非該当,非該当,クールアイドルのみ編成,7,高確率,わずかな間,PERFECTのスコアを14%アップ,スコアボーナス
1,パッションフォーカス★2 / 7秒高確率,スコアボーナス、COMBOボーナス,パッションアイドルのみ編成時、7秒毎、高確率でわずかな間、PERFECTのスコア14%アップ、COMBOボーナス11%アップ,非該当,非該当,パッションアイドルのみ編成,7,高確率,わずかな間,PERFECTのスコアを14%アップ,スコアボーナス
1,キュートフォーカス★2 / 9秒高確率,スコアボーナス、COMBOボーナス,キュートアイドルのみ編成時、9秒毎、高確率で少しの間、PERFECTのスコア14%アップ、COMBOボーナス11%アップ,非該当,非該当,キュートアイドルのみ編成,9,高確率,少しの間,PERFECTのスコアを14%アップ,スコアボーナス
1,クールフォーカス★2 / 9秒高確率,スコアボーナス、COMBOボーナス,クールアイドルのみ編成時、9秒毎、高確率で少しの間、PERFECTのスコア14%アップ、COMBOボーナス11%アップ,非該当,非該当,クールアイドルのみ編成,9,高確率,少しの間,PERFECTのスコアを14%アップ,スコアボーナス
1,パッションフォーカス★2 / 9秒高確率,スコアボーナス、COMBOボーナス,パッションアイドルのみ編成時、9秒毎、高確率で少しの間、PERFECTのスコア14%アップ、COMBOボーナス11%アップ,非該当,非該当,パッションアイドルのみ編成,9,高確率,少しの間,PERFECTのスコアを14%アップ,スコアボーナス
1,キュートフォーカス★2 / 11秒高確率,スコアボーナス、COMBOボーナス,キュートアイドルのみ編成時、11秒毎、高確率でしばらくの間、PERFECTのスコア14%アップ、COMBOボーナス11%アップ,非該当,非該当,キュートアイドルのみ編成,11,高確率,しばらくの間,PERFECTのスコアを14%アップ,スコアボーナス
1,クールフォーカス★2 / 11秒高確率,スコアボーナス、COMBOボーナス,クールアイドルのみ編成時、11秒毎、高確率でしばらくの間、PERFECTのスコア14%アップ、COMBOボーナス11%アップ,非該当,非該当,クールアイドルのみ編成,11,高確率,しばらくの間,PERFECTのスコアを14%アップ,スコアボーナス
1,パッションフォーカス★2 / 11秒高確率,スコアボーナス、COMBOボーナス,パッションアイドルのみ編成時、11秒毎、高確率でしばらくの間、PERFECTのスコア14%アップ、COMBOボーナス11%アップ,非該当,非該当,パッションアイドルのみ編成,11,高確率,しばらくの間,PERFECTのスコアを14%アップ,スコアボーナス
1,オールラウンド★2 / 5秒高確率,COMBOボーナス、ライフ回復,5秒毎、高確率で一瞬の間、COMBOボーナス10%アップ、PERFECTでライフ1回復,非該当,非該当,非該当,5,高確率,一瞬の間,COMBOボーナスを10%アップ,COMBOボーナス
1,オールラウンド★2 / 8秒高確率,COMBOボーナス、ライフ回復,8秒毎、高確率でわずかな間、COMBOボーナス10%アップ、PERFECTでライフ1回復,非該当,非該当,非該当,8,高確率,わずかな間,COMBOボーナスを10%アップ,COMBOボーナス
1,オールラウンド★2 / 11秒中確率,COMBOボーナス、ライフ回復,11秒毎、中確率で少しの間、COMBOボーナス10%アップ、PERFECTでライフ1回復,非該当,非該当,非該当,11,中確率,少しの間,COMBOボーナスを10%アップ,COMBOボーナス
1,オールラウンド★3 / 5秒高確率,COMBOボーナス、ライフ回復,5秒毎、高確率で一瞬の間、COMBOボーナス13%アップ、PERFECTでライフ1回復,非該当,非該当,非該当,5,高確率,一瞬の間,COMBOボーナスを13%アップ,COMBOボーナス
1,オールラウンド★3 / 8秒高確率,COMBOボーナス、ライフ回復,8秒毎、高確率でわずかな間、COMBOボーナス13%アップ、PERFECTでライフ1回復,非該当,非該当,非該当,8,高確率,わずかな間,COMBOボーナスを13%アップ,COMBOボーナス
1,オールラウンド★3 / 9秒中確率,COMBOボーナス、ライフ回復,9秒毎、中確率で少しの間、COMBOボーナス13%アップ、PERFECTでライフ1回復,非該当,非該当,非該当,9,中確率,少しの間,COMBOボーナスを13%アップ,COMBOボーナス
1,オールラウンド★3 / 11秒高確率,COMBOボーナス、ライフ回復,11秒毎、高確率で少しの間、COMBOボーナス13%アップ、PERFECTでライフ1回復,非該当,非該当,非該当,11,高確率,少しの間,COMBOボーナスを13%アップ,COMBOボーナス
1,オールラウンド★3 / 13秒中確率,COMBOボーナス、ライフ回復,13秒毎、中確率でかなりの間、COMBOボーナス13%アップ、PERFECTでライフ1回復,非該当,非該当,非該当,13,中確率,かなりの間,COMBOボーナスを13%アップ,COMBOボーナス
1,アンコール★2 / 9秒中確率,アンコール,9秒毎、中確率でわずかな間、直前に発動した他アイドルの特技効果を繰り返す,非該当,非該当,非該当,9,中確率,わずかな間,直前に発動した他アイドルの特技効果を繰り返す,アンコール
1,アンコール★2 / 12秒中確率,アンコール,12秒毎、中確率で少しの間、直前に発動した他アイドルの特技効果を繰り返す,非該当,非該当,非該当,12,中確率,少しの間,直前に発動した他アイドルの特技効果を繰り返す,アンコール
1,アンコール★2 / 15秒中確率,アンコール,15秒毎、中確率でしばらくの間、直前に発動した他アイドルの特技効果を繰り返す,非該当,非該当,非該当,15,中確率,しばらくの間,直前に発動した他アイドルの特技効果を繰り返す,アンコール
1,アンコール★2 / 18秒中確率,アンコール,18秒毎、中確率でかなりの間、直前に発動した他アイドルの特技効果を繰り返す,非該当,非該当,非該当,18,中確率,かなりの間,直前に発動した他アイドルの特技効果を繰り返す,アンコール
1,ライフスパークル★2 / 9秒高確率,COMBOボーナス,9秒毎、高確率で少しの間、ライフ値が多いほどCOMBOボーナスアップ,非該当,非該当,非該当,9,高確率,少しの間,ライフ値が多いほどCOMBOボーナスアップ,COMBOボーナス
1,ライフスパークル★2 / 11秒高確率,COMBOボーナス,11秒毎、高確率でしばらくの間、ライフ値が多いほどCOMBOボーナスアップ,非該当,非該当,非該当,11,高確率,しばらくの間,ライフ値が多いほどCOMBOボーナスアップ,COMBOボーナス
1,ライフスパークル★2 / 13秒高確率,COMBOボーナス,13秒毎、高確率でかなりの間、ライフ値が多いほどCOMBOボーナスアップ,非該当,非該当,非該当,13,高確率,かなりの間,ライフ値が多いほどCOMBOボーナスアップ,COMBOボーナス
1,コーディネイト★2 / 7秒高確率,スコアボーナス、COMBOボーナス,7秒毎、高確率でわずかな間、PERFECTのスコア8%アップ、COMBOボーナス12%アップ,非該当,非該当,非該当,7,高確率,わずかな間,PERFECTのスコアを8%アップ,スコアボーナス
1,コーディネイト★2 / 9秒高確率,スコアボーナス、COMBOボーナス,9秒毎、高確率で少しの間、PERFECTのスコア8%アップ、COMBOボーナス12%アップ,非該当,非該当,非該当,9,高確率,少しの間,PERFECTのスコアを8%アップ,スコアボーナス
1,コーディネイト★2 / 11秒高確率,スコアボーナス、COMBOボーナス,11秒毎、高確率でしばらくの間、PERFECTのスコア8%アップ、COMBOボーナス12%アップ,非該当,非該当,非該当,11,高確率,しばらくの間,PERFECTのスコアを8%アップ,スコアボーナス
1,チューニング★3 / 7秒高確率,COMBOボーナス、PERFECTサポート,7秒毎、高確率でわずかな間、COMBOボーナス12%アップ、GREAT/NICEをPERFECTにする,非該当,非該当,非該当,7,高確率,わずかな間,COMBOボーナスを12%アップ,COMBOボーナス
1,チューニング★3 / 9秒高確率,COMBOボーナス、PERFECTサポート,9秒毎、高確率で少しの間、COMBOボーナス12%アップ、GREAT/NICEをPERFECTにする,非該当,非該当,非該当,9,高確率,少しの間,COMBOボーナスを12%アップ,COMBOボーナス
1,チューニング★3 / 11秒高確率,COMBOボーナス、PERFECTサポート,11秒毎、高確率でしばらくの間、COMBOボーナス12%アップ、GREAT/NICEをPERFECTにする,非該当,非該当,非該当,11,高確率,しばらくの間,COMBOボーナスを12%アップ,COMBOボーナス
1,チューニング★3 / 11秒中確率,COMBOボーナス、PERFECTサポート,11秒毎、中確率でかなりの間、COMBOボーナス12%アップ、GREAT/NICEをPERFECTにする,非該当,非該当,非該当,11,中確率,かなりの間,COMBOボーナスを12%アップ,COMBOボーナス
1,チューニング★3 / 13秒高確率,COMBOボーナス、PERFECTサポート,13秒毎、高確率でかなりの間、COMBOボーナス12%アップ、GREAT/NICEをPERFECTにする,非該当,非該当,非該当,13,高確率,かなりの間,COMBOボーナスを12%アップ,COMBOボーナス
1,ロングアクト★2 / 7秒高確率,スコアボーナス,7秒毎、高確率で少しの間、PERFECTのスコア8%アップ、ロングアイコンなら32%アップ,非該当,非該当,非該当,7,高確率,少しの間,PERFECTのスコアを8%アップ,スコアボーナス
1,ロングアクト★2 / 9秒高確率,スコアボーナス,9秒毎、高確率でしばらくの間、PERFECTのスコア8%アップ、ロングアイコンなら32%アップ,非該当,非該当,非該当,9,高確率,しばらくの間,PERFECTのスコアを8%アップ,スコアボーナス
1,ロングアクト★2 / 11秒高確率,スコアボーナス,11秒毎、高確率でかなりの間、PERFECTのスコア8%アップ、ロングアイコンなら32%アップ,非該当,非該当,非該当,11,高確率,かなりの間,PERFECTのスコアを8%アップ,スコアボーナス
1,フリックアクト★2 / 7秒高確率,スコアボーナス,7秒毎、高確率で少しの間、PERFECTのスコア8%アップ、フリックアイコンなら32%アップ,非該当,非該当,非該当,7,高確率,少しの間,PERFECTのスコアを8%アップ,スコアボーナス
1,フリックアクト★2 / 9秒高確率,スコアボーナス,9秒毎、高確率でしばらくの間、PERFECTのスコア8%アップ、フリックアイコンなら32%アップ,非該当,非該当,非該当,9,高確率,しばらくの間,PERFECTのスコアを8%アップ,スコアボーナス
1,フリックアクト★2 / 11秒高確率,スコアボーナス,11秒毎、高確率でかなりの間、PERFECTのスコア8%アップ、フリックアイコンなら32%アップ,非該当,非該当,非該当,11,高確率,かなりの間,PERFECTのスコアを8%アップ,スコアボーナス
1,スライドアクト★2 / 7秒高確率,スコアボーナス,7秒毎、高確率で少しの間、PERFECTのスコア8%アップ、スライドアイコンなら32%アップ,非該当,非該当,非該当,7,高確率,少しの間,PERFECTのスコアを8%アップ,スコアボーナス
1,スライドアクト★2 / 9秒高確率,スコアボーナス,9秒毎、高確率でしばらくの間、PERFECTのスコア8%アップ、スライドアイコンなら32%アップ,非該当,非該当,非該当,9,高確率,しばらくの間,PERFECTのスコアを8%アップ,スコアボーナス
1,スライドアクト★2 / 11秒高確率,スコアボーナス,11秒毎、高確率でかなりの間、PERFECTのスコア8%アップ、スライドアイコンなら32%アップ,非該当,非該当,非該当,11,高確率,かなりの間,PERFECTのスコアを8%アップ,スコアボーナス
2,オーバーロード★2 / 7秒高確率,ライフ消費、スコアボーナス、COMBOサポート,7秒毎、高確率でライフを11消費し、わずかな間PERFECT/GREATのスコア18%アップ、NICE/BADでもCOMBO継続,ライフを11消費,非該当,非該当,7,高確率,わずかな間,NICE/BADでもCOMBO継続,COMBOサポート
2,オーバーロード★2 / 7秒中確率,ライフ消費、スコアボーナス、COMBOサポート,7秒毎、中確率でライフを11消費し、少しの間PERFECT/GREATのスコア18%アップ、NICE/BADでもCOMBO継続,ライフを11消費,非該当,非該当,7,中確率,少しの間,NICE/BADでもCOMBO継続,COMBOサポート
2,オーバーロード★2 / 9秒中確率,ライフ消費、スコアボーナス、COMBOサポート,9秒毎、中確率でライフを15消費し、しばらくの間PERFECT/GREATのスコア18%アップ、NICE/BADでもCOMBO継続,ライフを15消費,非該当,非該当,9,中確率,しばらくの間,NICE/BADでもCOMBO継続,COMBOサポート
2,コンセントレーション★2 / 7秒高確率,スコアボーナス、集中,7秒毎、高確率でわずかな間、PERFECTのスコア19%アップ、PERFECT判定される時間が短くなる,非該当,非該当,非該当,7,高確率,わずかな間,PERFECT判定される時間が短くなる,集中
2,コンセントレーション★2 / 9秒高確率,スコアボーナス、集中,9秒毎、高確率で少しの間、PERFECTのスコア19%アップ、PERFECT判定される時間が短くなる,非該当,非該当,非該当,9,高確率,少しの間,PERFECT判定される時間が短くなる,集中
2,コンセントレーション★2 / 9秒中確率,スコアボーナス、集中,9秒毎、中確率でしばらくの間、PERFECTのスコア19%アップ、PERFECT判定される時間が短くなる,非該当,非該当,非該当,9,中確率,しばらくの間,PERFECT判定される時間が短くなる,集中
