センター効果パーツ,適用要件,適用楽曲,適用メンバー,適用効果,効果量,補足（センター効果）
全ての特技効果が重複時に加算,非該当,非該当,全員,レゾナンス,0.00 ,レゾナンス・ボイス／レゾナンス・メイク／レゾナンス・ステップ
キュートアイドルのライフを10%アップ,非該当,非該当,キュートアイドル,ライフ,0.10 ,キュートエナジー
キュートアイドルのライフを20%アップ,非該当,非該当,キュートアイドル,ライフ,0.20 ,キュートエナジー
キュートアイドルのライフを30%アップ,非該当,非該当,キュートアイドル,ライフ,0.30 ,キュートエナジー
クールアイドルのライフを10%アップ,非該当,非該当,クールアイドル,ライフ,0.10 ,クールエナジー
クールアイドルのライフを20%アップ,非該当,非該当,クールアイドル,ライフ,0.20 ,クールエナジー
クールアイドルのライフを30%アップ,非該当,非該当,クールアイドル,ライフ,0.30 ,クールエナジー
パッションアイドルのライフを10%アップ,非該当,非該当,パッションアイドル,ライフ,0.10 ,パッションエナジー
パッションアイドルのライフを20%アップ,非該当,非該当,パッションアイドル,ライフ,0.20 ,パッションエナジー
パッションアイドルのライフを30%アップ,非該当,非該当,パッションアイドル,ライフ,0.30 ,パッションエナジー
全員のライフを15%アップ,非該当,非該当,全員,ライフ,0.15 ,パッション・クロス・キュート／パッション・クロス・クール
全員のライフを25%アップ,非該当,非該当,全員,ライフ,0.25 ,パッション・クロス・キュート／パッション・クロス・クール
全員のライフを40%アップ,非該当,非該当,全員,ライフ,0.40 ,キュートチアー／クールチアー／パッションチアー
マニーを50%アップ,非該当,非該当,非該当,マニー,0.50 ,シンデレラエール
キュートアイドルのボーカルアピール値を150%アップ,非該当,非該当,キュートアイドル,ボーカルアピール値,1.50 ,ドミナント・デュエット（ボイス＆ステップ）
キュートアイドルのボーカルアピール値を160%アップ,非該当,非該当,キュートアイドル,ボーカルアピール値,1.60 ,ドミナント・デュエット（メイク＆ボイス）
キュートアイドルのボーカルアピール値を30%アップ,非該当,非該当,キュートアイドル,ボーカルアピール値,0.30 ,キュートボイス
キュートアイドルのボーカルアピール値を60%アップ,非該当,非該当,キュートアイドル,ボーカルアピール値,0.60 ,キュートボイス
キュートアイドルのボーカルアピール値を90%アップ,非該当,非該当,キュートアイドル,ボーカルアピール値,0.90 ,キュートボイス
クールアイドルのボーカルアピール値を150%アップ,非該当,非該当,クールアイドル,ボーカルアピール値,1.50 ,ドミナント・デュエット（ボイス＆ステップ）
クールアイドルのボーカルアピール値を160%アップ,非該当,非該当,クールアイドル,ボーカルアピール値,1.60 ,ドミナント・デュエット（メイク＆ボイス）
クールアイドルのボーカルアピール値を30%アップ,非該当,非該当,クールアイドル,ボーカルアピール値,0.30 ,クールボイス
クールアイドルのボーカルアピール値を60%アップ,非該当,非該当,クールアイドル,ボーカルアピール値,0.60 ,クールボイス
クールアイドルのボーカルアピール値を90%アップ,非該当,非該当,クールアイドル,ボーカルアピール値,0.90 ,クールボイス
パッションアイドルのボーカルアピール値を150%アップ,非該当,非該当,パッションアイドル,ボーカルアピール値,1.50 ,ドミナント・デュエット（ボイス＆ステップ）
パッションアイドルのボーカルアピール値を160%アップ,非該当,非該当,パッションアイドル,ボーカルアピール値,1.60 ,ドミナント・デュエット（メイク＆ボイス）
パッションアイドルのボーカルアピール値を30%アップ,非該当,非該当,パッションアイドル,ボーカルアピール値,0.30 ,パッションボイス
パッションアイドルのボーカルアピール値を60%アップ,非該当,非該当,パッションアイドル,ボーカルアピール値,0.60 ,パッションボイス
パッションアイドルのボーカルアピール値を90%アップ,非該当,非該当,パッションアイドル,ボーカルアピール値,0.90 ,パッションボイス
全員のボーカルアピール値を100%アップ,非該当,非該当,全員,ボーカルアピール値,1.00 ,トリコロール・ボイス／キュートデュエット（ボイス＆ステップ）／クールデュエット（ボイス＆ステップ）／パッションデュエット（ボイス＆ステップ）／キュートデュエット（メイク＆ボイス）／クールデュエット（メイク＆ボイス）／パッションデュエット（メイク＆ボイス）
全員のボーカルアピール値を100%ダウン,非該当,非該当,全員,ボーカルアピール値,-1.00 ,レゾナンス・メイク／レゾナンス・ステップ
全員のボーカルアピール値を48%アップ,非該当,非該当,全員,ボーカルアピール値,0.48 ,シャイニーボイス
全員のボーカルアピール値を80%アップ,非該当,非該当,全員,ボーカルアピール値,0.80 ,トリコロール・ボイス／シャイニーボイス
キュートアイドルのビジュアルアピール値を150%アップ,非該当,非該当,キュートアイドル,ビジュアルアピール値,1.50 ,ドミナント・デュエット（メイク＆ボイス）
キュートアイドルのビジュアルアピール値を160%アップ,非該当,非該当,キュートアイドル,ビジュアルアピール値,0.16 ,ドミナント・デュエット（ステップ＆メイク）
キュートアイドルのビジュアルアピール値を30%アップ,非該当,非該当,キュートアイドル,ビジュアルアピール値,0.30 ,キュートメイク
キュートアイドルのビジュアルアピール値を60%アップ,非該当,非該当,キュートアイドル,ビジュアルアピール値,0.60 ,キュートメイク
キュートアイドルのビジュアルアピール値を90%アップ,非該当,非該当,キュートアイドル,ビジュアルアピール値,0.90 ,キュートメイク
クールアイドルのビジュアルアピール値を150%アップ,非該当,非該当,クールアイドル,ビジュアルアピール値,1.50 ,ドミナント・デュエット（メイク＆ボイス）
クールアイドルのビジュアルアピール値を160%アップ,非該当,非該当,クールアイドル,ビジュアルアピール値,1.60 ,ドミナント・デュエット（ステップ＆メイク）
クールアイドルのビジュアルアピール値を30%アップ,非該当,非該当,クールアイドル,ビジュアルアピール値,0.30 ,クールメイク
クールアイドルのビジュアルアピール値を60%アップ,非該当,非該当,クールアイドル,ビジュアルアピール値,0.60 ,クールメイク
クールアイドルのビジュアルアピール値を90%アップ,非該当,非該当,クールアイドル,ビジュアルアピール値,0.90 ,クールメイク
パッションアイドルのビジュアルアピール値を150%アップ,非該当,非該当,パッションアイドル,ビジュアルアピール値,1.50 ,ドミナント・デュエット（メイク＆ボイス）
パッションアイドルのビジュアルアピール値を160%アップ,非該当,非該当,パッションアイドル,ビジュアルアピール値,1.60 ,ドミナント・デュエット（ステップ＆メイク）
パッションアイドルのビジュアルアピール値を30%アップ,非該当,非該当,パッションアイドル,ビジュアルアピール値,0.30 ,パッションメイク
パッションアイドルのビジュアルアピール値を60%アップ,非該当,非該当,パッションアイドル,ビジュアルアピール値,0.60 ,パッションメイク
パッションアイドルのビジュアルアピール値を90%アップ,非該当,非該当,パッションアイドル,ビジュアルアピール値,0.90 ,パッションメイク
全員のビジュアルアピール値を100%アップ,非該当,非該当,全員,ビジュアルアピール値,1.00 ,キュートデュエット（メイク＆ボイス）／クールデュエット（メイク＆ボイス）／パッションデュエット（メイク＆ボイス）／トリコロール・メイク／キュートデュエット（ステップ＆メイク）／クールデュエット（ステップ＆メイク）／パッションデュエット（ステップ＆メイク）
全員のビジュアルアピール値を100%ダウン,非該当,非該当,全員,ビジュアルアピール値,-1.00 ,レゾナンス・ボイス／レゾナンス・ステップ
全員のビジュアルアピール値を80%アップ,非該当,非該当,全員,ビジュアルアピール値,0.80 ,トリコロール・メイク
キュートアイドルのダンスアピール値を150%アップ,非該当,非該当,キュートアイドル,ダンスアピール値,1.50 ,ドミナント・デュエット（ステップ＆メイク）
キュートアイドルのダンスアピール値を160%アップ,非該当,非該当,キュートアイドル,ダンスアピール値,1.60 ,ドミナント・デュエット（ボイス＆ステップ）
キュートアイドルのダンスアピール値を30%アップ,非該当,非該当,キュートアイドル,ダンスアピール値,0.30 ,キュートステップ
キュートアイドルのダンスアピール値を60%アップ,非該当,非該当,キュートアイドル,ダンスアピール値,0.60 ,キュートステップ
キュートアイドルのダンスアピール値を90%アップ,非該当,非該当,キュートアイドル,ダンスアピール値,0.90 ,キュートステップ
クールアイドルのダンスアピール値を150%アップ,非該当,非該当,クールアイドル,ダンスアピール値,1.50 ,ドミナント・デュエット（ステップ＆メイク）
クールアイドルのダンスアピール値を160%アップ,非該当,非該当,クールアイドル,ダンスアピール値,1.60 ,ドミナント・デュエット（ボイス＆ステップ）
クールアイドルのダンスアピール値を30%アップ,非該当,非該当,クールアイドル,ダンスアピール値,0.30 ,クールステップ
クールアイドルのダンスアピール値を60%アップ,非該当,非該当,クールアイドル,ダンスアピール値,0.60 ,クールステップ
クールアイドルのダンスアピール値を90%アップ,非該当,非該当,クールアイドル,ダンスアピール値,0.90 ,クールステップ
パッションアイドルのダンスアピール値を150%アップ,非該当,非該当,パッションアイドル,ダンスアピール値,1.50 ,ドミナント・デュエット（ステップ＆メイク）
パッションアイドルのダンスアピール値を160%アップ,非該当,非該当,パッションアイドル,ダンスアピール値,1.60 ,ドミナント・デュエット（ボイス＆ステップ）
パッションアイドルのダンスアピール値を30%アップ,非該当,非該当,パッションアイドル,ダンスアピール値,0.30 ,パッションステップ
パッションアイドルのダンスアピール値を60%アップ,非該当,非該当,パッションアイドル,ダンスアピール値,0.60 ,パッションステップ
パッションアイドルのダンスアピール値を90%アップ,非該当,非該当,パッションアイドル,ダンスアピール値,0.90 ,パッションステップ
フェイスオープンしたら全員のダンスアピール値を130%アップ,フェイスオープン,非該当,全員,ダンスアピール値,1.30 ,ワールドレベル
自分のダンスアピール値を100%アップ,非該当,非該当,ヘレン,ダンスアピール値,1.00 ,ワールドレベル
全員のダンスアピール値を100%アップ,非該当,非該当,全員,ダンスアピール値,1.00 ,トリコロール・ステップ／キュートデュエット（ステップ＆メイク）／クールデュエット（ステップ＆メイク）／パッションデュエット（ステップ＆メイク）／キュートデュエット（ボイス＆ステップ）／クールデュエット（ボイス＆ステップ）／パッションデュエット（ボイス＆ステップ）
全員のダンスアピール値を100%ダウン,非該当,非該当,全員,ダンスアピール値,-1.00 ,レゾナンス・ボイス／レゾナンス・メイク
全員のダンスアピール値を80%アップ,非該当,非該当,全員,ダンスアピール値,0.80 ,トリコロール・ステップ／シャイニーステップ
キュートアイドルにタイプボーナス,非該当,非該当,キュートアイドル,タイプ一致,0.00 ,ドミナント・デュエット（メイク＆ボイス）／ドミナント・デュエット（ボイス＆ステップ）／ドミナント・デュエット（ステップ＆メイク）
クールアイドルにタイプボーナス,非該当,非該当,クールアイドル,タイプ一致,0.00 ,ドミナント・デュエット（メイク＆ボイス）／ドミナント・デュエット（ボイス＆ステップ）／ドミナント・デュエット（ステップ＆メイク）
パッションアイドルにタイプボーナス,非該当,非該当,パッションアイドル,タイプ一致,0.00 ,ドミナント・デュエット（メイク＆ボイス）／ドミナント・デュエット（ボイス＆ステップ）／ドミナント・デュエット（ステップ＆メイク）
中確率でスターピースを獲得,中確率,非該当,非該当,スターピース,0.00 ,シンデレラウィッシュ
中確率でスターエンブレムを獲得,中確率,非該当,非該当,スターエンブレム,0.00 ,トゥインクルプレゼント
ゲストを含むユニット編成アイドル全員のセンター効果を発揮し、最も高い効果を適用,非該当,非該当,全員,シンデレラブレス,0.00 ,シンデレラブレス
