ふりがな,名前,アイドルタイプ,年齢,誕生日,星座,血液型,身長,体重,バスト,ウエスト,ヒップ,利き手,出身地,趣味,声優,登録日
えがみつばき,江上椿,キュートアイドル,19歳,'2月6日',水瓶座,A型,161cm,46kg,80cm,57cm,80cm,左,新潟,写真を撮ること,-,'2016年12月9日'
おおたゆう,太田優,キュートアイドル,21歳,'1月28日',水瓶座,AB型,159cm,45kg,89cm,57cm,87cm,両,千葉,犬のトリミング、美容,-,'2016年7月8日'
おおにしゆりこ,大西由里子,キュートアイドル,20歳,'3月20日',魚座,O型,156cm,44kg,81cm,58cm,83cm,右,香川,ネットサーフィン・読書,-,'2016年6月9日'
おおぬまくるみ,大沼くるみ,キュートアイドル,13歳,'3月30日',牡羊座,A型,145cm,40kg,おっきい,ふつう,まぁまぁ,右,石川,ポケットティッシュ収集、お風呂に入ること,-,'2016年7月25日'
おおはらみちる,大原みちる,キュートアイドル,15歳,'4月12日',牡羊座,O型,153cm,40kg,78cm,55cm,80cm,右,福井,食べること,-,'2016年6月9日'
おがたちえり,緒方智絵里,キュートアイドル,16歳,'6月11日',双子座,A型,153cm,42kg,79cm,57cm,80cm,右,三重,四葉のクローバー集め,大空直美,'2015年9月3日'
おくやまさおり,奥山沙織,キュートアイドル,19歳,'6月12日',双子座,B型,156cm,47kg,83cm,57cm,81cm,右,秋田,読書,-,'2015年9月3日'
おとくらゆうき,乙倉悠貴,キュートアイドル,13歳,'10月6日',天秤座,A型,164cm,40kg,70cm,53cm,74cm,右,岡山,ミックスジュース作り、スクラップブック作り,中島由貴,'2016年5月9日'
くさかべわかば,日下部若葉,キュートアイドル,20歳,'5月4日',牡牛座,O型,148cm,40kg,77cm,54cm,78cm,右,群馬,ジグソーパズル,-,'2016年11月9日'
くどうしのぶ,工藤忍,キュートアイドル,16歳,'3月9日',魚座,A型,154cm,41kg,78cm,54cm,81cm,左,青森,おまけ集め,-,'2015年11月13日'
くらりす,クラリス,キュートアイドル,20歳,'8月26日',乙女座,AB型,166cm,45kg,80cm,55cm,82cm,右,兵庫,ボランティア,-,'2015年10月31日'
くりはらねね,栗原ネネ,キュートアイドル,15歳,'9月9日',乙女座,A型,161cm,44kg,77cm,54cm,78cm,右,群馬,テレビ鑑賞・健康作り,-,'2016年6月30日'
くろさきちとせ,黒埼ちとせ,キュートアイドル,19歳,'11月10日',蠍座,O型,164cm,44kg,86cm,58cm,84cm,右,東京,美味しいものを食べること・月光浴,佐倉薫,'2019年2月28日'
こがこはる,古賀小春,キュートアイドル,12歳,'4月1日',牡羊座,O型,140cm,35kg,72cm,54cm,77cm,左,佐賀,イグアナのヒョウくんと遊ぶこと、家のお手伝い,-,'2016年9月9日'
こしみずさちこ,輿水幸子,キュートアイドル,14歳,'11月25日',射手座,B型,142cm,37kg,74cm,52cm,75cm,左,山梨,勉強ノートの清書,竹達彩奈,'2015年9月3日'
こばやかわさえ,小早川紗枝,キュートアイドル,15歳,'10月18日',天秤座,AB型,148cm,42kg,78cm,56cm,80cm,右,京都,日本舞踊,立花理香,'2015年9月3日'
こひなたみほ,小日向美穂,キュートアイドル,17歳,'12月16日',射手座,O型,155cm,42kg,82cm,59cm,86cm,左,熊本,ひなたぼっこ,津田美波,'2015年9月3日'
さいおんじことか,西園寺琴歌,キュートアイドル,17歳,'1月23日',水瓶座,O型,156cm,46kg,87cm,57cm,85cm,右,東京,押し花作り,安齋由香里,'2015年10月9日'
さかきばらさとみ,榊原里美,キュートアイドル,17歳,'8月27日',乙女座,O型,162cm,46kg,91cm,56cm,86cm,右,山形,甘いお菓子を食べること,-,'2016年3月31日'
さくままゆ,佐久間まゆ,キュートアイドル,16歳,'9月7日',乙女座,B型,153cm,40kg,78cm,54cm,80cm,両,仙台,お料理、編み物,牧野由依,'2015年9月17日'
さくらいももか,櫻井桃華,キュートアイドル,12歳,'4月8日',牡羊座,A型,145cm,39kg,72cm,53cm,75cm,右,神戸,ティータイム,照井春佳,'2015年12月8日'
しいなのりこ,椎名法子,キュートアイドル,13歳,'10月10日',天秤座,O型,147cm,38kg,76cm,55cm,79cm,右,大阪,新作ドーナツの試食,都丸ちよ,'2015年9月3日'
しまむらうづき,島村卯月,キュートアイドル,17歳,'4月24日',牡牛座,O型,159cm,45kg,83cm,59cm,87cm,右,東京,友達と長電話,大橋彩香,'2015年9月3日'
しらぎくほたる,白菊ほたる,キュートアイドル,13歳,'4月19日',牡羊座,AB型,156cm,42kg,77cm,53cm,79cm,左,鳥取,笑顔の練習・アイドルレッスン,天野聡美,'2015年11月30日'
しらゆきちよ,白雪千夜,キュートアイドル,17歳,'2月4日',水瓶座,O型,157cm,40kg,72cm,52cm,74cm,右,北海道,料理・睡眠,関口理咲,'2019年2月28日'
すずみやせいか,涼宮星花,キュートアイドル,19歳,'8月28日',乙女座,A型,158cm,45kg,82cm,57cm,83cm,右,岐阜,バイオリン,-,'2016年9月23日'
せきひろみ,関裕美,キュートアイドル,14歳,'8月17日',獅子座,A型,155cm,43kg,78cm,55cm,80cm,右,富山,アクセサリー作り,会沢紗弥,'2016年4月8日'
つきみやみやび,月宮雅,キュートアイドル,18歳,'10月30日',蠍座,B型,153cm,44kg,86cm,56cm,82cm,右,東京,ママとショッピング,-,'2016年3月11日'
つじのあかり,辻野あかり,キュートアイドル,15歳,'11月5日',蠍座,A型,160cm,44kg,80cm,60cm,86cm,右,山形,ラーメン、編み物,梅澤めぐ,'2019年4月10日'
どうみょうじかりん,道明寺歌鈴,キュートアイドル,17歳,'1月1日',山羊座,A型,155cm,43kg,80cm,55cm,83cm,右,奈良,境内のお掃除,新田ひより,'2015年9月3日'
ながとみはすみ,長富蓮実,キュートアイドル,16歳,'3月19日',魚座,A型,161cm,45kg,83cm,56cm,85cm,右,島根,ボウリング・古着屋巡り,-,'2016年10月9日'
なかのゆか,中野有香,キュートアイドル,18歳,'3月23日',牡羊座,B型,149cm,40kg,77cm,57cm,81cm,右,東京,空手,下地紫野,'2015年9月3日'
にわひとみ,丹羽仁美,キュートアイドル,18歳,'6月4日',双子座,B型,157cm,43kg,81cm,55cm,79cm,右,名古屋,史跡巡り・武将グッズ収集,-,'2017年1月10日'
はやさかみれい,早坂美玲,キュートアイドル,14歳,'5月9日',牡牛座,B型,147cm,39kg,75cm,54cm,77cm,右,宮城,ぬいぐるみ集め,朝井彩加,'2016年1月9日'
はらだみよ,原田美世,キュートアイドル,20歳,'11月14日',蠍座,O型,163cm,46kg,86cm,59cm,85cm,右,石川,クルマ・バイクいじり,-,'2015年12月21日'
ひょうどうれな,兵藤レナ,キュートアイドル,27歳,'10月3日',天秤座,O型,167cm,48kg,92cm,56cm,84cm,左,東京,トランプ,-,'2015年12月14日'
ふくやままい,福山舞,キュートアイドル,10歳,'1月21日',水瓶座,O型,132cm,28kg,64cm,56cm,70cm,左,兵庫,一輪車,-,'2015年9月3日'
ふじもとりな,藤本里奈,キュートアイドル,18歳,'10月14日',天秤座,A型,154cm,41kg,77cm,55cm,80cm,右,湘南,単車乗り、コンビニで立ち読み,金子真由美,'2015年9月3日'
ふたばあんず,双葉杏,キュートアイドル,17歳,'9月2日',花も恥じらう乙女座,B型,139cm,30kg,？cm,？cm,？cm,右,北海道,なし,五十嵐裕美,'2015年9月3日'
まえかわみく,前川みく,キュートアイドル,15歳,'2月22日',魚座,B型,152cm,45kg,85cm,55cm,81cm,右,大阪,猫カフェ巡り,高森奈津美,'2015年9月3日'
まつばらさや,松原早耶,キュートアイドル,18歳,'12月28日',山羊座,AB型,156cm,43kg,83cm,58cm,86cm,右,兵庫,ブログ,-,'2016年5月11日'
まなかみさと,間中美里,キュートアイドル,20歳,'11月6日',蠍座,AB型,160cm,46kg,84cm,57cm,85cm,右,神奈川,旅行,-,'2016年12月17日'
みずもとゆかり,水本ゆかり,キュートアイドル,15歳,'10月18日',天秤座,A型,155cm,42kg,81cm,56cm,82cm,右,青森,フルート,藤田茜,'2015年9月3日'
みむらかなこ,三村かな子,キュートアイドル,17歳,'1月6日',山羊座,O型,153cm,52kg,90cm,65cm,89cm,右,東京,お菓子作り,大坪由佳,'2015年9月3日'
みやもとふれでりか,宮本フレデリカ,キュートアイドル,19歳,'2月14日',水瓶座,B型,164cm,46kg,83cm,57cm,85cm,左,パリ,ファッション,髙野麻美,'2015年9月3日'
むなかたあつみ,棟方愛海,キュートアイドル,14歳,'8月1日',獅子座,A型,151cm,41kg,73cm,56cm,75cm,両,青森,指の運動,藤本彩花,'2016年2月8日'
むらまつさくら,村松さくら,キュートアイドル,15歳,'3月27日',牡羊座,O型,145cm,38kg,75cm,55cm,77cm,右,静岡,ピンクのもの集め,-,'2016年2月29日'
もちだありさ,持田亜里沙,キュートアイドル,21歳,'8月24日',乙女座,AB型,156cm,45kg,77cm,54cm,76cm,右,長野,子供と遊ぶこと,-,'2016年3月9日'
ももいあずき,桃井あずき,キュートアイドル,15歳,'7月7日',蟹座,A型,145cm,40kg,80cm,55cm,78cm,右,長野,金魚すくい,-,'2015年9月3日'
やおふぇいふぇい,楊菲菲,キュートアイドル,15歳,'9月29日',天秤座,O型,152cm,41kg,82cm,58cm,84cm,右,香港,料理,-,'2016年4月25日'
やなぎきよら,柳清良,キュートアイドル,23歳,'5月12日',牡牛座,O型,158cm,47kg,85cm,58cm,86cm,右,愛媛,ドキュメンタリー番組鑑賞,-,'2016年8月12日'
やなせみゆき,柳瀬美由紀,キュートアイドル,14歳,'3月16日',魚座,O型,144cm,33kg,75cm,54cm,77cm,右,北海道,ぬいぐるみ集め,-,'2016年10月17日'
ゆさこずえ,遊佐こずえ,キュートアイドル,11歳,'2月19日',魚座,B型,130cm,28kg,62cm,50cm,65cm,右,高知,しゅみってなぁに？,花谷麻妃,'2016年8月31日'
よこやまちか,横山千佳,キュートアイドル,09歳,'12月18日',射手座,A型,127cm,31kg,60cm,55cm,65cm,右,宮崎,魔法少女ごっこ,-,'2015年11月9日'
あいかわちなつ,相川千夏,クールアイドル,23歳,'11月11日',蠍座,B型,161cm,43kg,82cm,56cm,85cm,右,北海道,カフェで読書,-,'2015年9月3日'
あさりななみ,浅利七海,クールアイドル,14歳,'10月9日',天秤座,A型,151cm,41kg,78cm,55cm,77cm,右,青森,釣り・絵日記,井上ほの花,'2016年6月9日'
あなすたしあ,アナスタシア,クールアイドル,15歳,'9月19日',乙女座,O型,165cm,43kg,80cm,54cm,80cm,両,北海道,ホームパーティー・天体観測,上坂すみれ,'2015年9月3日'
あやせほのか,綾瀬穂乃香,クールアイドル,17歳,'5月29日',双子座,A型,161cm,46kg,85cm,57cm,84cm,右,宮城,バレエ,-,'2015年9月3日'
あらきひな,荒木比奈,クールアイドル,20歳,'4月9日',牡羊座,A型,157cm,43kg,83cm,57cm,82cm,右,神奈川,漫画描く,田辺留依,'2015年9月3日'
いじゅういんめぐみ,伊集院惠,クールアイドル,21歳,'9月24日',天秤座,O型,160cm,44kg,86cm,56cm,81cm,左,東京,一人旅,-,'2016年11月11日'
うじいえむつみ,氏家むつみ,クールアイドル,13歳,'7月13日',蟹座,AB型,152cm,42kg,78cm,57cm,80cm,右,栃木,冒険小説を読む・冒険映画を見る事,-,'2016年5月9日'
うめきおとは,梅木音葉,クールアイドル,19歳,'6月20日',双子座,AB型,172cm,49kg,86cm,58cm,85cm,右,北海道,森林浴・ピアノ,-,'2016年4月8日'
おおいしいずみ,大石泉,クールアイドル,15歳,'11月11日',蠍座,A型,157cm,41kg,83cm,55cm,82cm,右,静岡,プログラミング,-,'2016年2月10日'
おかざきやすは,岡崎泰葉,クールアイドル,16歳,'7月16日',蟹座,A型,153cm,43kg,79cm,55cm,80cm,左,長崎,ドールハウス作り,-,'2016年1月31日'
かみじょうはるな,上条春菜,クールアイドル,18歳,'4月10日',牡羊座,O型,156cm,42kg,79cm,56cm,80cm,右,静岡,猫と縁側でお昼寝,長島光那,'2015年9月3日'
かみやなお,神谷奈緒,クールアイドル,17歳,'9月16日',乙女座,AB型,154cm,44kg,83cm,58cm,81cm,左,千葉,アニメ鑑賞,松井恵理子,'2015年9月3日'
かわしまみずき,川島瑞樹,クールアイドル,28歳,'11月25日',射手座,A型,159cm,44kg,87cm,57cm,85cm,右,大阪,掃除・洗濯,東山奈央,'2015年9月3日'
かんざきらんこ,神崎蘭子,クールアイドル,14歳,'4月8日',牡羊座,A型,156cm,41kg,81cm,57cm,80cm,右,熊本,絵を描くこと,内田真礼,'2015年9月3日'
きしべあやか,岸部彩華,クールアイドル,19歳,'11月13日',蠍座,A型,162cm,46kg,89cm,59cm,85cm,右,埼玉,ネイルアート・エステ・岩盤浴,-,'2016年10月9日'
きばまなみ,木場真奈美,クールアイドル,25歳,'8月8日',獅子座,AB型,172cm,50kg,88cm,60cm,89cm,右,長崎,筋トレ・料理,-,'2016年6月17日'
きりのあや,桐野アヤ,クールアイドル,19歳,'4月8日',牡羊座,A型,160cm,43kg,86cm,56cm,86cm,右,福岡,格闘技観戦,-,'2016年8月9日'
きりゅうつかさ,桐生つかさ,クールアイドル,18歳,'2月24日',魚座,A型,164cm,45kg,83cm,55cm,82cm,右,福井,異業種交流、ホットヨガ、ぬか床の世話,河瀬茉希,'2016年8月23日'
くろかわちあき,黒川千秋,クールアイドル,20歳,'2月26日',魚座,B型,163cm,45kg,86cm,57cm,86cm,右,北海道,クラシック鑑賞,-,'2015年11月9日'
けいと,ケイト,クールアイドル,20歳,'8月15日',獅子座,O型,157cm,45kg,83cm,59cm,85cm,右,イギリス,日本の雑誌を見るコト,-,'2016年7月10日'
こむろちなみ,小室千奈美,クールアイドル,19歳,'6月9日',双子座,AB型,164cm,45kg,84cm,56cm,82cm,右,愛知,ダーツ,-,'2016年11月17日'
さぎさわふみか,鷺沢文香,クールアイドル,19歳,'10月27日',蠍座,AB型,162cm,45kg,84cm,54cm,81cm,右,長野,本屋めぐり・栞作り,M・A・O,'2015年10月6日'
ささきちえ,佐々木千枝,クールアイドル,11歳,'6月7日',双子座,AB型,139cm,33kg,73cm,49cm,73cm,左,富山,裁縫,今井麻夏,'2015年9月3日'
さじょうゆきみ,佐城雪美,クールアイドル,10歳,'9月28日',天秤座,AB型,137cm,30kg,63cm,47cm,65cm,右,京都,ペット(黒猫)と会話,中澤ミナ,'2015年9月3日'
しおみしゅうこ,塩見周子,クールアイドル,18歳,'12月12日',射手座,B型,163cm,45kg,82cm,56cm,81cm,左,京都,献血・ダーツ,ルゥ ティン,'2015年9月3日'
しのはられい,篠原礼,クールアイドル,27歳,'11月22日',蠍座,B型,171cm,49kg,93cm,58cm,88cm,左,宮崎,社交ダンス,-,'2016年6月10日'
しぶやりん,渋谷凛,クールアイドル,15歳,'8月10日',獅子座,B型,165cm,44kg,80cm,56cm,81cm,右,東京,犬の散歩,福原綾香,'2015年9月3日'
しらさかこうめ,白坂小梅,クールアイドル,13歳,'3月28日',牡羊座,AB型,142cm,34kg,65cm,50cm,70cm,左,兵庫,ホラー・スプラッタ映画鑑賞、心霊スポット巡り,桜咲千依,'2015年9月3日'
すなづかあきら,砂塚あきら,クールアイドル,15歳,'10月7日',天秤座,B型,154cm,42kg,78cm,56cm,78cm,右,新潟,ファッション、動画配信、FPS,富田美憂,'2019年4月12日'
せなしおり,瀬名詩織,クールアイドル,19歳,'1月10日',山羊座,A型,165cm,48kg,85cm,58cm,83cm,右,沖縄,海沿いを散歩,-,'2016年9月9日'
たかがきかえで,高垣楓,クールアイドル,25歳,'6月14日',双子座,AB型,171cm,49kg,81cm,57cm,83cm,左,和歌山,温泉めぐり,早見沙織,'2015年9月3日'
たかはしれいこ,高橋礼子,クールアイドル,31歳,'5月8日',牡牛座,O型,167cm,51kg,91cm,62cm,90cm,右,神奈川,パーティーに行くこと,-,'2016年5月25日'
たかふじかこ,鷹富士茄子,クールアイドル,20歳,'1月1日',山羊座,AB型,160cm,43kg,88cm,57cm,88cm,右,島根,隠し芸,森下来奈,'2016年12月9日'
たかみねのあ,高峯のあ,クールアイドル,24歳,'3月25日',牡羊座,B型,168cm,48kg,87cm,55cm,86cm,右,奈良,天体観測,-,'2016年10月9日'
ただりいな,多田李衣菜,クールアイドル,17歳,'6月30日',蟹座,A型,152cm,41kg,80cm,55cm,81cm,右,東京,音楽鑑賞,青木瑠璃子,'2015年9月3日'
たちばなありす,橘ありす,クールアイドル,12歳,'7月31日',獅子座,A型,141cm,34kg,68cm,52cm,67cm,右,兵庫,ゲーム・読書(ミステリー),佐藤亜美菜,'2015年9月3日'
とうごうあい,東郷あい,クールアイドル,23歳,'2月7日',水瓶座,AB型,167cm,45kg,82cm,57cm,83cm,両,福島,サックス,-,'2016年3月9日'
なるみやゆめ,成宮由愛,クールアイドル,13歳,'11月3日',蠍座,AB型,150cm,40kg,72cm,51cm,73cm,両,滋賀,写生・水彩画,-,'2016年4月8日'
にしかわほなみ,西川保奈美,クールアイドル,16歳,'10月23日',天秤座,A型,155cm,55kg,88cm,60cm,86cm,両,兵庫,オペラ鑑賞・宝塚鑑賞,-,'2016年10月31日'
にったみなみ,新田美波,クールアイドル,19歳,'7月27日',獅子座,O型,165cm,45kg,82cm,55cm,85cm,右,広島,ラクロス、資格取得,洲崎綾,'2015年9月3日'
にのみやあすか,二宮飛鳥,クールアイドル,14歳,'2月3日',水瓶座,B型,154cm,42kg,75cm,55cm,78cm,右,静岡,ヘアアレンジ、ラジオを聴くこと、漫画を描くこと,青木志貴,'2015年10月19日'
はっとりとうこ,服部瞳子,クールアイドル,25歳,'10月11日',天秤座,O型,169cm,48kg,78cm,57cm,80cm,左,大分,熱帯魚観賞・温泉めぐり,-,'2016年9月12日'
はやみかなで,速水奏,クールアイドル,17歳,'7月1日',蟹座,O型,162cm,43kg,86cm,55cm,84cm,右,東京,映画鑑賞,飯田友子,'2015年9月3日'
ひいらぎしの,柊志乃,クールアイドル,31歳,'12月25日',山羊座,AB型,167cm,43kg,84cm,54cm,83cm,左,山梨,ワインツーリズム(産地巡り),-,'2016年11月9日'
ひさかわはやて,久川颯,クールアイドル,14歳,'6月16日',双子座,B型,151cm,42kg,82cm,56cm,82cm,右,徳島,ファッション・流行の店巡り,長江里加,'2019年4月2日'
ふじいとも,藤居朋,クールアイドル,19歳,'7月1日',蟹座,O型,163cm,45kg,78cm,57cm,83cm,右,滋賀,占い,-,'2016年2月10日'
ふじわらはじめ,藤原肇,クールアイドル,16歳,'6月15日',双子座,B型,161cm,43kg,80cm,55cm,84cm,両,岡山,陶芸、釣り,鈴木みのり,'2016年1月9日'
ふるさわよりこ,古澤頼子,クールアイドル,17歳,'5月18日',牡牛座,A型,166cm,45kg,81cm,59cm,83cm,左,茨城,美術展・博物展観覧,-,'2016年7月31日'
へれん,ヘレン,クールアイドル,24歳,'4月4日',牡羊座,AB型,158cm,46kg,90cm,58cm,81cm,右,海の向こう,DVD鑑賞,-,'2017年1月10日'
ほうじょうかれん,北条加蓮,クールアイドル,16歳,'9月5日',乙女座,B型,155cm,42kg,83cm,55cm,81cm,右,東京,ネイル,渕上舞,'2015年9月3日'
まつおちづる,松尾千鶴,クールアイドル,15歳,'3月21日',牡羊座,A型,161cm,45kg,78cm,54cm,81cm,右,福岡,勉強・習字,-,'2016年9月9日'
まつながりょう,松永涼,クールアイドル,18歳,'10月1日',天秤座,AB型,160cm,47kg,90cm,56cm,86cm,右,東京,ホラー映画鑑賞,千菅春香,'2015年9月30日'
まつもとさりな,松本沙理奈,クールアイドル,22歳,'9月1日',乙女座,A型,165cm,48kg,92cm,58cm,85cm,右,東京,ショッピング,-,'2015年9月3日'
みずきせいら,水木聖來,クールアイドル,23歳,'4月27日',牡牛座,B型,155cm,43kg,82cm,55cm,80cm,右,茨城,犬の散歩,-,'2016年2月8日'
みずのみどり,水野翠,クールアイドル,18歳,'12月5日',射手座,AB型,164cm,47kg,80cm,54cm,81cm,右,愛知,弓道,-,'2016年3月11日'
みふねみゆ,三船美優,クールアイドル,26歳,'2月25日',魚座,AB型,165cm,46kg,85cm,60cm,85cm,右,岩手,アロマテラピー,原田彩楓,'2015年12月8日'
もちづきひじり,望月聖,クールアイドル,13歳,'12月25日',山羊座,O型,150cm,37kg,82cm,59cm,86cm,右,長野,歌を口ずさむこと,原涼子,'2016年12月9日'
もりくぼのの,森久保乃々,クールアイドル,14歳,'8月27日',乙女座,AB型,149cm,38kg,73cm,55cm,76cm,左,神奈川,ポエム作り、少女漫画集め,高橋花林,'2015年11月30日'
やがみまきの,八神マキノ,クールアイドル,18歳,'11月7日',蠍座,B型,160cm,45kg,85cm,56cm,83cm,右,岐阜,諜報活動,二ノ宮ゆい,'2015年12月30日'
やまとあき,大和亜季,クールアイドル,21歳,'12月16日',射手座,O型,165cm,51kg,92cm,60cm,85cm,左,福岡,サバゲー、プラモ収集,村中知,'2015年12月21日'
ゆうきはる,結城晴,クールアイドル,12歳,'7月17日',蟹座,A型,140cm,37kg,74cm,55cm,78cm,右,愛媛,サッカー,小市眞琴,'2016年1月15日'
よしおかさき,吉岡沙紀,クールアイドル,17歳,'5月8日',牡牛座,A型,166cm,43kg,86cm,60cm,85cm,右,神奈川,ストリートアート,-,'2016年7月8日'
らいら,ライラ,クールアイドル,16歳,'5月21日',双子座,O型,150cm,40kg,75cm,54cm,78cm,右,ドバイ,公園で知らない人とおしゃべり,-,'2016年1月22日'
わきやまたまみ,脇山珠美,クールアイドル,16歳,'9月20日',乙女座,B型,145cm,38kg,72cm,53cm,75cm,右,佐賀,剣道・時代小説を読むこと,嘉山未紗,'2015年10月31日'
わくいるみ,和久井留美,クールアイドル,26歳,'4月7日',牡羊座,A型,168cm,49kg,81cm,60cm,86cm,左,広島,仕事,-,'2016年4月30日'
あいのなぎさ,愛野渚,パッションアイドル,18歳,'8月1日',獅子座,A型,163cm,47kg,84cm,58cm,85cm,右,愛知,バスケットボール,-,'2016年7月8日'
あいばゆみ,相葉夕美,パッションアイドル,18歳,'4月15日',牡羊座,O型,158cm,42kg,81cm,57cm,80cm,右,神奈川,ガーデニング,木村珠莉,'2015年9月3日'
あかぎみりあ,赤城みりあ,パッションアイドル,11歳,'4月14日',牡羊座,AB型,140cm,36kg,75cm,55cm,78cm,左,東京,おしゃべり,黒沢ともよ,'2015年9月3日'
いぶさんたくろーす,イヴ・サンタクロース,パッションアイドル,19歳,'12月24日',山羊座,B型,165cm,44kg,81cm,56cm,80cm,右,グリーンランド,煙突探し,-,'2016年11月9日'
いちはらにな,市原仁奈,パッションアイドル,09歳,'2月8日',水瓶座,B型,128cm,29kg,61cm,57cm,67cm,左,静岡,着ぐるみ集め,久野美咲,'2015年11月12日'
うえだすずほ,上田鈴帆,パッションアイドル,14歳,'10月26日',蠍座,O型,156cm,42kg,76cm,55cm,79cm,右,福岡,裁縫,春野ななみ,'2016年4月8日'
えとうみさき,衛藤美紗希,パッションアイドル,22歳,'3月18日',魚座,O型,160cm,45kg,84cm,56cm,80cm,左,大分,携帯小説、女子力アップ,-,'2016年7月10日'
えびはらなほ,海老原菜帆,パッションアイドル,17歳,'8月3日',獅子座,O型,162cm,58kg,92cm,65cm,93cm,右,熊本,散歩・和菓子屋さん巡り,-,'2016年10月22日'
おいかわしずく,及川雫,パッションアイドル,16歳,'6月3日',双子座,O型,170cm,56kg,105cm,64cm,92cm,両,岩手,乳搾り、トラクターの運転,のぐちゆり,'2015年9月3日'
おおつきゆい,大槻唯,パッションアイドル,17歳,'5月7日',牡牛座,B型,155cm,42kg,84cm,56cm,83cm,左,埼玉,カラオケ,山下七海,'2015年9月3日'
かたぎりさなえ,片桐早苗,パッションアイドル,28歳,'3月7日',魚座,O型,152cm,47kg,92cm,58cm,84cm,右,新潟,マッサージ・スーパー銭湯,和氣あず未,'2015年9月3日'
きたがわまひろ,北川真尋,パッションアイドル,17歳,'2月17日',水瓶座,O型,158cm,43kg,75cm,57cm,79cm,右,香川,走ること・食べること・寝ること,-,'2016年5月10日'
きたひなこ,喜多日菜子,パッションアイドル,15歳,'4月6日',牡羊座,AB型,151cm,38kg,78cm,56cm,78cm,右,秋田,妄想,深川芹亜,'2015年11月30日'
きたみゆず,喜多見柚,パッションアイドル,15歳,'12月2日',射手座,B型,156cm,43kg,82cm,57cm,82cm,左,埼玉,バドミントン,武田羅梨沙多胡,'2015年12月8日'
きむらなつき,木村夏樹,パッションアイドル,18歳,'8月19日',獅子座,AB型,159cm,41kg,82cm,57cm,83cm,左,茨城,ツーリング,安野希世乃,'2015年9月3日'
きゃしーぐらはむ,キャシー・グラハム,パッションアイドル,15歳,'9月19日',乙女座,O型,168cm,49kg,83cm,56cm,85cm,左,ニューヨーク,インラインスケート・ダンス,-,'2016年11月9日'
こせきれいな,小関麗奈,パッションアイドル,13歳,'3月5日',魚座,B型,148cm,41kg,75cm,50cm,77cm,右,山形,いたずら,長野佑紀,'2016年1月31日'
こまついぶき,小松伊吹,パッションアイドル,19歳,'11月17日',蠍座,O型,165cm,48kg,85cm,59cm,88cm,右,茨城,ストリートダンス・スケボー・恋愛映画を見る事,-,'2016年3月25日'
ざいぜんときこ,財前時子,パッションアイドル,21歳,'4月18日',牡羊座,B型,168cm,46kg,83cm,55cm,85cm,右,名古屋,お仕置き、豚を料理すること,-,'2016年9月30日'
さいとうようこ,斉藤洋子,パッションアイドル,20歳,'12月29日',山羊座,O型,157cm,46kg,85cm,57cm,82cm,右,福岡,半身浴,-,'2016年6月9日'
さえじまきよみ,冴島清美,パッションアイドル,15歳,'9月26日',天秤座,A型,153cm,43kg,76cm,58cm,78cm,右,沖縄,掃除、整理整頓、腕章作り,-,'2017年1月10日'
