特技パーツ,特技パーツ効果分類,適用メンバー,適用アイコン,適用判定,特技パーツ効果,効果量,ブーストタイプ,特技
PERFECTのスコアを8%アップ,スコアアップ,全員,非該当,PERFECT判定,スコアボーナス,0.08,％強化,コーディネイト★2 / 7秒高確率／コーディネイト★2 / 9秒高確率／コーディネイト★2 / 11秒高確率／ロングアクト★2 / 7秒高確率／ロングアクト★2 / 9秒高確率／ロングアクト★2 / 11秒高確率／フリックアクト★2 / 7秒高確率／フリックアクト★2 / 9秒高確率／フリックアクト★2 / 11秒高確率／スライドアクト★2 / 7秒高確率／スライドアクト★2 / 9秒高確率／スライドアクト★2 / 11秒高確率
COMBOボーナスを12%アップ,COMBOボーナス,全員,非該当,非該当,COMBOボーナス,0.12,％強化,チューニング★3 / 7秒高確率／チューニング★3 / 9秒高確率／チューニング★3 / 11秒高確率／チューニング★3 / 11秒中確率／チューニング★3 / 13秒高確率／コーディネイト★2 / 7秒高確率／コーディネイト★2 / 9秒高確率／コーディネイト★2 / 11秒高確率
NICE/BADでもCOMBO継続,COMBOサポート,全員,非該当,NICE/BAD判定,COMBOサポート,判定,判定強化,オーバーロード★2 / 7秒高確率／オーバーロード★2 / 7秒中確率／オーバーロード★2 / 9秒中確率
PERFECT判定される時間が短くなる,PERFECTサポート,全員,非該当,PERFECT判定,集中,非該当,非該当,コンセントレーション★2 / 7秒高確率／コンセントレーション★2 / 9秒高確率／コンセントレーション★2 / 9秒中確率／コンセントレーション★2 / 11秒高確率／コンセントレーション★2 / 13秒高確率／コンセントレーション★3 / 7秒高確率／コンセントレーション★3 / 9秒高確率／コンセントレーション★3 / 11秒高確率／コンセントレーション★3 / 11秒中確率／コンセントレーション★3 / 13秒高確率
他アイドルのCOMBOボーナス効果を中アップ,スキルブースト,全ユニット,非該当,非該当,COMBOブースト,0.1,非該当,スキルブースト★2 / 7秒高確率／スキルブースト★2 / 9秒高確率／スキルブースト★2 / 11秒高確率
COMBOボーナスを11%アップ,COMBOボーナス,全員,非該当,非該当,COMBOボーナス,0.11,％強化,キュートフォーカス★2 / 6秒中確率／クールフォーカス★2 / 6秒中確率／パッションフォーカス★2 / 6秒中確率／キュートフォーカス★2 / 7秒高確率／クールフォーカス★2 / 7秒高確率／パッションフォーカス★2 / 7秒高確率／キュートフォーカス★2 / 9秒高確率／クールフォーカス★2 / 9秒高確率／パッションフォーカス★2 / 9秒高確率／キュートフォーカス★2 / 11秒高確率／クールフォーカス★2 / 11秒高確率／パッションフォーカス★2 / 11秒高確率
PERFECTでライフを1回復,ライフサポート,全員,非該当,PERFECT判定,ライフ回復,1,数値強化,オールラウンド★2 / 5秒高確率／オールラウンド★2 / 8秒高確率／オールラウンド★2 / 11秒中確率／オールラウンド★3 / 5秒高確率／オールラウンド★3 / 8秒高確率／オールラウンド★3 / 9秒中確率／オールラウンド★3 / 11秒高確率／オールラウンド★3 / 13秒中確率
ロングアイコンならPERFECTのスコアを32%アップ,スコアアップ,全員,ロングアイコン,PERFECT判定,スコアボーナス,0.32,％強化,ロングアクト★2 / 7秒高確率／ロングアクト★2 / 9秒高確率／ロングアクト★2 / 11秒高確率
フリックアイコンならPERFECTのスコアを32%アップ,スコアアップ,全員,フリックアイコン,PERFECT判定,スコアボーナス,0.32,％強化,フリックアクト★2 / 7秒高確率／フリックアクト★2 / 9秒高確率／フリックアクト★2 / 11秒高確率
スライドアイコンならPERFECTのスコアを32%アップ,スコアアップ,全員,スライドアイコン,PERFECT判定,スコアボーナス,0.32,％強化,スライドアクト★2 / 7秒高確率／スライドアクト★2 / 9秒高確率／スライドアクト★2 / 11秒高確率
他アイドルのライフ回復効果を中アップ,スキルブースト,全ユニット,非該当,非該当,ライフ回復ブースト,0.1,非該当,スキルブースト★2 / 7秒高確率／スキルブースト★2 / 9秒高確率／スキルブースト★2 / 11秒高確率
他アイドルのダメージガードにライフ回復を付与,スキルブースト,全ユニット,非該当,非該当,ライフ回復付与,1,非該当,スキルブースト★2 / 7秒高確率／スキルブースト★2 / 9秒高確率／スキルブースト★2 / 11秒高確率
他アイドルのライフ減少量ダウン効果を中アップ,スキルブースト,全ユニット,非該当,非該当,ライフ減少量ダウンブースト,0.1,非該当,スキルブースト★2 / 7秒高確率／スキルブースト★2 / 9秒高確率／スキルブースト★2 / 11秒高確率
他アイドルのPERFECTサポートを中アップ,スキルブースト,全ユニット,非該当,非該当,PERFECTサポートブースト,判定,判定強化,スキルブースト★2 / 7秒高確率／スキルブースト★2 / 9秒高確率／スキルブースト★2 / 11秒高確率
他アイドルのCOMBOサポートを中アップ,スキルブースト,全ユニット,非該当,非該当,COMBOサポートブースト,判定,判定強化,スキルブースト★2 / 7秒高確率／スキルブースト★2 / 9秒高確率／スキルブースト★2 / 11秒高確率
